@KP24 @sajidjavid Stop being a cry baby Kevin. Vaccine passports all the way
Vaccine makers are racing to update their COVID-19 shots against the newest coronavirus threat even before it's cle… https://t.co/1H0qgn6LIt
"@TheOGpianoGeek Got a couple months before I can get a booster (hey, Pfizer, right arm; yeah, I can also tell ya where I got 'em)"
@piersmorgan Can't be an anti-vaxxer for refusing a medical shot that doesn't function as a vaccine. https://t.co/f5xg66PsJE
@HeartlandSignal So completely infuriating. The vaccine is even cheaper than mouthwash. Plus - wait for it - the vaccine works.
Pfizer vaccine booster shot approved in South Africa — when you should get it https://t.co/aE3hWOFoBL
"Senate passes resolution to repeal Biden vaccine mandate, with help of two Democrats https://t.co/Gm1MPVeXjg via @nbcnews"
Honestly the part I'm dreading the most about coming out to my parents is them ignoring everything else I say about… https://t.co/MhqYqZpeJi
@abdominusrex @Mattallica17 @DevinNunesMulet @DangerousRyles @janeyK_KAG @lynx_spider @constit14834912 @YearRooster… https://t.co/z4Cd4oEZie
AHS issued a series of tweets on Wednesday to respond to misinformation that the health authority said has been goi… https://t.co/KVgj5udSSm
"@6B1222T @GovGianforte @JoeBiden Sadly, that is not true at all.  https://t.co/wXjSibMQWE"
You supporting and putting out anti vaccine bullshit means your on the wrong side of history despite this horrific… https://t.co/80lfEgaKGw
@CodyTay69276337 @Carey23Mark @mtaibbi Anti vaccine garbage among other things. Destructive to humanity I would say
Joe Manchin needs to be primaried.   Senate votes to block Biden vaccine mandate — but measure unlikely to become l… https://t.co/oAULlKakpB
Pfizer says booster shot of COVID-19 vaccine protects against omicron https://t.co/a9c4IPCxyS
"Senate passes resolution to defund, repeal Biden vaccine mandate https://t.co/ZL9Tqqo5L7"
Senate blocks Biden's vaccine mandate https://t.co/KR3F0uRGYw
The Senate has narrowly passed the resolution to block the Occupational Safety and Health Administration (OSHA) rul… https://t.co/UjsClmO06U
I’m glad to see the Senate pass my effort with @SenatorBraun to strike down @JoeBiden’s vaccine mandate on private… https://t.co/lzqJKGaNKn
"@fredmknapp I’m guessing the camera slows its “shutter” speed in low light, make the snow look like streaks. Could… https://t.co/Y9V64FVWJK"
