The Left’s Vaccine Hypocrisy https://t.co/xc2cFbCM6P
Booster shot and all &amp; still testing positive 🤯🥴 https://t.co/EPPv7tIuFv
"@Cunliffe81 @sueaddison5 @JuliaHB1 @Keir_Starmer In your case, I’d agree. Does the mask and vaccine hurt you so muc… https://t.co/GnWHkQcjEj"
"""Louisiana supermarket owner says ""he can't afford"" Biden's vaccine mandate.  ""We’re understaffed right now across… https://t.co/HdPdB6VAvX"
@GovWhitmer No one is being “forced” to leave jobs over taking a vaccine. The stupid and selfish are making that ch… https://t.co/MD8iXcZhob
I swear that vaccine shit got me sick is shit 😡 I don’t recommend! Idc
"Strong flu-like reaction 12 hours after my Pfizer booster jab that lasted for most of the day yesterday, but this m… https://t.co/0s8gsf8NgG"
"@EmmaSayle Emma, vaccines 💉 don’t prevent viruses from mutating therefore it’s impossible to ever be fully safe wit… https://t.co/t2zbALUqFL"
"Reply to Senator Tim Scott, saying Senate rejected President Biden's vaccine mandate."
"34,000 LAUSD students miss vaccine deadline; school board fires 500 unvaccinated employees #NewsBreak https://t.co/txP90GniEE"
"@TESAHAPS @TheDailyShow @jordanklepper /2 The malaria vaccine has been described as only 30% effective, but in sub-… https://t.co/oatux5CG8I"
@TESAHAPS @TheDailyShow @jordanklepper Vaccines aren't defined by a hard binary where anything &lt; 100% automatically… https://t.co/JPS8L53s5O
@redacted251 @BobbyDa69215200 @Tiffanylulu1 @3YearLetterman @POTUS There are no sources because it's not true. No o… https://t.co/p3BTowBTei
Corrections Officers’ Union Sues Mayor De Blasio Over Vaccine Mandate. https://t.co/2dwQZjCV6c
@TizzyEnt That’s how Michael Douglas got throat cancer. But there’s now a vaccine for HPV9. Killed two friends.
@annaexclaimed Shouldn’t have gotten the vaccine what the fuck was I doing
Amazing. The heaviest vaxxed states are doing worse this year than last year without a vaccine. Hospitals and ICUs… https://t.co/wKt4fnopQO
"@BernieSanders I AGREE 💯%‼️ and can you conceive how richer Pfizer, Moderna &amp; J&amp;J got from this pandemic⁉️ Remember… https://t.co/2djQyQtyXR"
@DaisyKe81790043 @Sen_JoeManchin Do you know what would have helped his immune system? A vaccine! Which he didn't g… https://t.co/haO27uV22Q
#Pfizer #stock it’s 1% up today 🚀🚀🚀🚀🚀🚀 yesterday I shared its chart which is very bullish 🚀🚀🚀 Follow @ranu5  for mo… https://t.co/yvtX8WIhvg
@JOEL9ONE I had Moderna all 3 doses and same exact experience 1-2. Booster 3 more mild then regular 2nd but still a… https://t.co/g1QmfFFuam
"NYC Vaccine Mandate Expands Amid Omicron Variant, COVID-19 Case Surgeron Variant Drives Case Surge – NBC New York https://t.co/DYbGYbJPqp"
"@JustaDiscussion @PreAnteDiluvian @KnockOnWoodard @OccupyDemocrats Ok, follow me here: 1. Unvaccinated person is mo… https://t.co/ssA7WICjYX"
"@independentJimb @JerryRossJr1 @SebGorka Nope. It would need to go to scotus. So far, Scotus has left mandates in p… https://t.co/OAcsPuwFpa"
Senate votes to overturn Biden vaccine mandate for businesses https://t.co/paHDalq4vj
Today I’m fully vaccinated I got my booster shot hopefully no reaction from it to
@Breaking911 Didn’t I just see something from Pfizer ceo that they are recommending a possible 4th shot to help pro… https://t.co/ysrxWVn1OO
@BabblingBiden @GrahamManges @AreYouHamboning @JesseKellyDC It's lower than 99.99999%. Your ignorance is amazing. N… https://t.co/msxlQ6TLBt
@pfizer @ConquerCancerFd I took the second dose of Covid-19 vaccine and I still have issue with my right hand. It’s… https://t.co/kuvOivnenr
@PurpleRain713 @texicalibrit @BetoORourke Kids are more likely to die of cancer or a car accident. This isn't about… https://t.co/f0PIl0Iy3X
@BeckyQuick I’m going to wait for verification of this data from someone who ISN’T trying to keep Pfizer’s stock pr… https://t.co/CouWa3Bolh
Two Democrats join Republicans to REPEAL Biden's federal vaccine mandate for private businesses - https://t.co/0tW3MXVvr9
"@alpha_hydrogen @Gmaylv @NYDailyNews Airline pilot memorial list: 2019 one pilot dead. 2020 six pilots dead. 2021,… https://t.co/EM9CFEl7A0"
"Republicans ready new push to defund, repeal Biden vaccine and testing policies. Congressional Republicans are plan… https://t.co/CjVq1LCXpg"
@ImSpeaking13 Yeah… I am going to wait for independent verification of this.   I don’t really believe the Pfizer CE… https://t.co/xFDs0EQAg3
Got my booster shot today.  I'm now full 5G and magnetized.  I can feel the micro tracker burrowing its way into my… https://t.co/Gt03UfVept
Vaccine isn’t free. The government is paying Pfizer via our tax dollars.   They’ve already paid Pfizer at LEAST 4.8… https://t.co/0T54Blffeb
Healthcare is a human right. Forcing people to pay out of pocket for not getting an experimental vaccine that the F… https://t.co/av4iMixA2U
"Gov. Phil Murphy blasted some Republican lawmakers for what he calls their ""incredibly irresponsible"" behavior at l… https://t.co/1VYSEG4uTk"
@AesPolitics Why the hell do you need to get anyone to take a vaccine? Take as many vaccines as you want and leave other people alone. 🤡
"@SHolmesV2 @PrisonPlanet ""Your yearly jab, brought to you by Pfizer."""
A 3rd full dose of Moderna ! 🥳 https://t.co/pzkGYKWu53
"If you are in Georgia, remember @ReverendWarnock @ossoff just voted to force a private business to force you to get… https://t.co/Dm5CL7tVIH"
@Sen_JoeManchin Thanks for nothing. Our family friend died in WV yesterday...from covid. He was unvaxxed and alone.… https://t.co/v9uTJxnq2G
Did Pfizer Pfizer then a Moderna #booster yesterday. Walloped me pretty good. #vaccinemix
"@CFraase @WMNarmer @JimSwiftDC Getting the vaccine shrinks your nuggets, getting Covid gives you boobs - the only s… https://t.co/66SbSSouut"
But it has nothing to do with the vaccine.    https://t.co/t1ZjLp1gvY https://t.co/Wj3jZQsF7J
My 88 y.o. parents told me tonight of an elderly friend’s sister who died of #COVID-19 last night. #Unvaccinated of… https://t.co/lMieAPKeft
@SkyNews All he’s got in reply to every question is “vaccine rollout” which shows he takes nothing on board except… https://t.co/Y0nxQ4xZxu
"Senator Manchin has sided with R’s on vaccine Mandate. If he follows suit on the Build Back bullshit, look for him… https://t.co/p7UBu8h9Pt"
@liesarentfacts @donwinslow So. . . pay attention to details. The C-19 vaccine has never been sold as a way to prev… https://t.co/vXjykEVbgH
Of course!😳the NIH claims ownership of the Moderna Vaccine. And the NIH is testing that vaccine on our children!… https://t.co/DDLezn0hBF
"@Lish_daddy @AdamSchefter That has NEVER been said, the point of the vaccine was to help you fight it better so it… https://t.co/oF7JEk5csH"
@ebonymous @MTBinns @washingtonpost Nobody who gets Chemo says it’s a cancer vaccine.  That is my point and as far… https://t.co/z2SJOYCxVs
"via @NYTimes For Republicans who forced the action, it was a prime opportunity to paint the administration’s effort… https://t.co/ZTi4c7dnLS"
The new flu vaccine “ fluzone high dose quadrivalent” sounds like the food they were storing in @StarTrek “the trou… https://t.co/fcgtQB5wjx
@FoxNews Interesting so three and every six months booster that's not the devil's number at all I see what your doing there Pfizer
He is not anti vaccine he is pro-safe vaccine
@11th_inty_chess @tjk_mla @WalkerBragman Anti-vaccine mandate leftists are libertarian because they are against big… https://t.co/fH3vRZxBoe
3 full doses of Moderna 👍💪 https://t.co/59HrGnY8Yl
@realcaddytc @ElectionWiz There isn’t a *natural* immunity for viruses🦠 DUH!  Have u heard about *natural immunity*… https://t.co/cafG0XY8jp
@dmburrows @angeloisidorou @jordanbpeterson @joerogan Republicans aren't pushing mandatory vaccine mandates. Republ… https://t.co/3NSnkUtch3
Reminder that it is still against Nuremberg codes to force a vaccine that is not FDA approved. And the C vaccine wi… https://t.co/BlLZAFR3Pf
Senate votes to repeal Biden's vaccine mandate - ABC News - https://t.co/EJjDVGVSNQ via @ABC
@WilliamShatner Did you get your booster shot Bill??
@elisha1022 @Spencer_Berg_ @Cheese12987 @GreenPartyUS @DrJillStein @ajamubaraka You do realize that all patients si… https://t.co/vhZBG4by6B
@TheOGpianoGeek Flu 14AUg.  Moderna-3 29AUG... as of 20NOV antibodies still above the high end of the assay range
@tweettruth2me Not much you can do about the virus except wash your hands a lot and stay away from sick people. You… https://t.co/GKWZwc5i1s
@newsmax Serves her right. The vac is bullshit. Biden’s lethal vaccine!
This Senate vote against the OSHA #VaccineMandate may be symbolic but it still matters. It's a major embarrassment… https://t.co/WHV6mtvFpL
@colby_canada @Connie19601 @Jim_Jordan @RepMaryMiller He has only been in office less then a year trump was the one… https://t.co/WmRy4r2cLH
"New story on NPR: In a largely symbolic move, the Senate votes to block Biden's vaccine-or-test mandate https://t.co/u4UIFshZ0Y"
Boo boo vaccine incoming! #vaids https://t.co/iLhyvv8VDL
"Supposedly, the UK is reporting 15% of children with Omicron suffer skin rash, in addition to common symptoms of fa… https://t.co/sM1Lzlrzdz"
This is an outrage.  The same people who are voting to repeal are complaining that Biden isn't doing anything about… https://t.co/gftfUlCosm
Senate votes to nix Biden's vaccine mandate for businesses | TheHill https://t.co/clLRqk3Auv
What @glennbeck just said about #Moderna Alex jones said this past spring. Come on @glennbeck be original for once… https://t.co/e7Kzz78My2
Who questions vaccine research and data more
"⚡️ “Omicron significantly reduces Covid antibodies generated by Pfizer vaccine, study finds” by @Telegraph https://t.co/WkIZZ0tIL6"
BREAKING: U.S. Senate votes 52-48 to pass a resolution to repeal President Biden's vaccine mandate for private empl… https://t.co/c5l8MJ1Xkq
"#BREAKING: US Senate votes to overturn President Biden's Covid vaccine mandate for private businesses, but its chan… https://t.co/DQA5ArNGGj"
@Spencer_Berg_ @elisha1022 @Cheese12987 @GreenPartyUS @DrJillStein @ajamubaraka There is no causal relationship est… https://t.co/3Hi3kHCrfE
@PatMannUSA 💪💪💪💪 Moderna Lunch Table way cooler than Pfizer Lunch Table
"@yokoono About the same amount of people died in 2 years due to COVID &amp; vaccine related deaths, What's your point?"
"A man is vaccinated against COVID-19 at a clinic in Johannesburg, South Africa. The omicron variant appears to be d… https://t.co/dS1c0BDiKZ"
@ActivistHenry @tblue17 Happy to see a politician with a backbone is standing up to these egregious vaccine mandates.
"""Pfizer Says Its Booster Offers Strong Protection Against Omicron"" via NYT https://t.co/6RD4ZyPHKm #healthnews #dentistry #newyorktimes"
@PoliticsForAlI @Telegraph Same here except with Pfizer vaccine.
this is actual science. you worthless pieces of trash in the biden administration and democrat party. i was aware o… https://t.co/DU36XfIgke
So now #pfizer says they will need roughly 75 years to release all the #covid19 data. 🤣 We will find out who shot… https://t.co/r3GUQ9LNM1
"The Moderna booster made my fibromyalgia flare, again. Please get vaccinated, just be warned of you fibro, you shou… https://t.co/jCLxbF41h1"
@thenewsoncnbc @megtirrell @pfizer I am a 13 hour/day @CNBC viewer….when are we ridding the network of Shepard?…ope… https://t.co/y6NTbOcsz8
"haven’t eaten in 2 days, word to this booster shot and period cramps"
We all finna be tuned in to one of them Mesothelioma commercials in like 10 years but they gon be tryna compensate… https://t.co/kP8ZY9fOOV
The CDC strengthened recommendations that all vaccinated adults receive a booster shot due to the emergence of the… https://t.co/himBg071u9
New study suggests that “most cases of suspected #COVID19 #vaccine-related #myocarditis in people younger than 21 a… https://t.co/wY2afBGJL3
New study suggests that “most cases of suspected #COVID19 #vaccine-related #myocarditis in people younger than 21 a… https://t.co/7F0lJBZ6hT
"@nbrhdcommie @DaveOchman Vaccine mandates are not that black and white. Nowhere in the country is the so-called ""ma… https://t.co/Rn3P6FMaAY"
@DebHarkness HPV vaccine reduced cervical cancer by 87%…..just imagine how this pandemic will decrease if everyone gets vaccinated?
@4HumanUnity @DonaldJTrumpJr So my chances of dying would go from 0.02% to like 0.01% ? And risk getting adverse va… https://t.co/ArntdLRXzN
Lol my kids were watching Netflix kids and I happened to be in their room and @njdoh ran some commercial where a ki… https://t.co/t6JL3ulAc2
@AnnaDD0722 @DonaldJTrumpJr So you're not the least bit sketched that the FDA who approved a rushed through vaccine… https://t.co/3irO3SCJZI
"I’m looking for someone to make a Pfizer or Moderna mobile app that gives you points for prizes like free shots, fr… https://t.co/rLpcaxNK1K"
Honestly 🖕 @FoxNews and your tree. Bunch of wolves in sheep's clothing. You are as bad as @CNN You enable the horri… https://t.co/5K2aqFs3tR
"It’s time to get your flu shot! Flu vaccines are safe for everyone 6 months and older. If you’re pregnant, the vacc… https://t.co/yHpQjFlhSH"
🚨🚨🚨 #JOLPOL #Senate #KeyVote Alert: “NO” on #SJRes29 (Braun Anti-#Vaccine Mandate CRA)! This resolution prohibits l… https://t.co/ZZf9RLN5Ms
@Cheese12987 @Spencer_Berg_ @GreenPartyUS @DrJillStein @ajamubaraka How do you know their stance on vaccine passpor… https://t.co/Z6GdusQ0Iy
Pharmacies slammed with COVID-19 vaccine demand https://t.co/B9JfAxSXS1
Pfizer says booster shot of its vaccine protects against omicron variant  Thankful I was able to get my booster alr… https://t.co/Gxhlge6YrJ
"Just tell them they don’t have to get the vaccine, BUT WEAR A DAMN MASK IN PUBLIC! https://t.co/iyH7OTW4RV"
@MasalaFry69 But you're fine using what happened to the Jews in Nazi Germany as an explainer for why people shouldn… https://t.co/EbSrsm9Mwq
This lady told me that people like myself are responsible for not protecting others because I refused the vaccine.… https://t.co/hhHb9dmivU
Pfizer Fauci Trudeau Tam FDA CDC WHO WEF Gates https://t.co/9CFYDpLxLx
There is so much bad news out there. Let's take a moment to be grateful that we live in an era where our biotechnol… https://t.co/o5UwtjMtFi
COVID vaccine mandate for #NYC employees not suspended; judge issues clarifying order https://t.co/7ovL9crt91
"@NikkiMcR So, get the vaccine?"
Pfizer say their vax helps with the new VARIANT  Listen closely https://t.co/E7suCPUkjg
@FergalBowers @rtenews Every COVID-19 vaccine is tested for safety with strict protection systems. before being cer… https://t.co/4EVZmuYPWU
@RobJohn_88 Vaccine passports are as much use as a chocolate fireguard.
COVID vaccine mandate for NYC employees not suspended; judge issues clarifying order https://t.co/XDz0pGmXNJ
Pharmacies slammed with COVID-19 vaccine demand https://t.co/dh6s5LEfXi
@AngelaBelcamino I got it all Angela Moderna
As someone who is not a Beatles fan I am truly relieved that #Pfizer protects against random thoughts of #JohnLennon https://t.co/uiHQJLa79v
"""I don't understand the disconnect right now"" - Aniston  #fauci &amp; @CDC proimised that #vaccinations would prevent t… https://t.co/XnF5jWLP4S"
"Stop staring at the clock every day. It's time for a new career. Follow us to view jobs with titles like ""COVID 19… https://t.co/xj7uhwNNqz"
The article says MAY please do your research. I’m vaccinated and my post is not anti vaccine. https://t.co/CA7R2irvzH
Of course the @pfizer CEO wants to move more product…   #Profits #4shots  https://t.co/WPvjJ7rv95
Pfizer has a vested interest in promoting booster shots whether are needed or not.
Congratulations to Jace Savage from West Orange on getting his 2nd dose! Jace and his father Mark received a gift b… https://t.co/86UruBLNhi
New Brunswick kids are rock stars - wow! We’re excited to see how many children got the shot! We are adding and exp… https://t.co/rvsfQmhIBs
Outgoing NYC Mayor Bill DeBlasio expands city’s strict public sector #COVID19 vaccine rules to now include private… https://t.co/vJEOcOJTmu
"This Saturday, Dec. 11 from 12:00 to 4:00 pm, Pfizer and Moderna vaccines will be available at Newnan Chapel UMC. P… https://t.co/S2bhEZzEg4"
Pfizer says COVID booster ‘neutralizes’ Omicron variant. SURE. ANYTHING JUST TO GET PEOPLE VACCINATED. GREEDY PFIZE… https://t.co/hUOd0oc7DF
@EssexPR @sdunne45 Nightclubs in Wales are packed most nights. Many are reporting they are the busiest they have ev… https://t.co/vMQvxDKEj5
The beyond vaccine https://t.co/lQS6qJA3Q7
I just saw a post about Pfizer and possibly a 4th shot  and...giant sigh. I can't.
"@OdorRj @atensnut If U R so against the science of vaccines, that is safer than an aspirin,why go to science to hel… https://t.co/HWi3DKBT2C"
@Wells_P Imagine still shilling for the vaccine at this point.  At least the people you see on tv are getting paid for it. Sad.
@GBNEWS Mandatory vaccination is basically playing Russian Roulette with people's lives.  Some people have already… https://t.co/bGFmAUX1P7
Pfizer is lobbying to thwart whistleblowers from exposing corporate fraud https://t.co/MVa5qlfpyB by @lhfang
@jackwil33143446 @CortesSteve @SharriMarkson @RealAmVoice @RealPNavarro @RWMaloneMD tragedy will be further erosion… https://t.co/L3BseVmHdx
"WHO wades into vaccine mandates, they should be an ‘absolute last resort’  The effect mandating vaccines could have… https://t.co/qQqAaFif7J"
Los Angeles school district fires hundreds of employees who refused the #COVID19 #VaccineMandate   https://t.co/xBcFlkOTit #FoxNews
"I already got my vaccine the 1st two, I am not getting a damn booster. #Pzifer"
"@Rustybe96849965 Yeah and if he got jabbed it was water, he's put ni vaccine in his body I'm sure"
COVID cases spike even as U.S. hits 200M vaccine milestone https://t.co/hX8My1Mutf
My ma come in the spot talm bout ah booster shot. Stupidity must be in the air.
"Gurudwara Dashmesh Darbar and Carteret Pharmacy are hosting a COVID- 19 Moderna Booster Vaccine Clinic on Sun, 12/1… https://t.co/AFamnU96Op"
Pfizer says a new study shows that three doses of its COVID vaccine protects against the Omicron variant. Getting a… https://t.co/KiYyQAl63B
Isnt Pfizer a drug dealer??? Duu now smack yourself in the face!
"Preliminary results from an independent study showed that a booster shot of the J&amp;J COVID-19 vaccine, administered… https://t.co/6BgZNEJ8sT"
Joe Biden’s vaccine mandates vs. we the people... https://t.co/RRJGZjHIia
Love waiting for this booster shot. Love it 😒
If you actually get a vaccine passport you are a fucking clown
Got my COVID vaccine booster (1st two rounds were Pfizer; the booster was Moderna). Similar side effects to the fir… https://t.co/JOizOPLVTo
Are the vaccine oligarchs running out of time? #Omnicron #vaccine
@danhill2011 Here is best part.  3 days after Omnicrom was  announced they already knew how to magically test for i… https://t.co/zrbC2gxxB3
"@libsoftiktok On the other side, my 13 year old niece was bullied at school for being vaccinated and wearing a mask… https://t.co/4qMypf8f6Z"
"@SharonRossi5 @1SemperSooner @newsmax If your paying attention to the actual science, you realize this ""vaccine"" do… https://t.co/ztImBWdYHA"
@Harris_Hill21 Exactly &amp; that’s my issue because that messaging is basically telling people to let their guard down… https://t.co/so42eY9HRs
@MePoolside @1LessGOP @TheSNFD @pfizer @WHO @mvankerkhove They’ll say anything to scare people into taking that mes… https://t.co/XmI6m8USQZ
We were proud to share vaccine efficacy data from our Phase 2b trial for our respiratory syncytial virus (#RSV) adu… https://t.co/vehHO3Vfra
"Emergency Management Bill, Vaccine and Booster Shots, Omicron Variant, and More https://t.co/tgx6taRkHE https://t.co/ByZFC28N1x"
"#gapol Not stopping with low vax %, GA joining suit to stop vaccine mandates to ensure more deaths &amp; long haul case… https://t.co/DkeV4hZWof"
Just Took My First Vaccine Shot
Vegans gotta be mad they only just now releasing a vegan vaccine
Shit like this is part of why I won’t touch that vaccine for shit. https://t.co/WjhXEK7tP3
@Dana638097672 @1stgenPatriot @TheRealHoarse @DrOz https://t.co/jMfh21aiaJ  BOOED for saying vaccine works.
@Dana638097672 @1stgenPatriot @TheRealHoarse @DrOz It started because I looked at your profile. And can prove that… https://t.co/1cI9Dm3IBl
@FiveTimesAugust @Adele I would rarher get vaccine to not see Adele!
"In a pandemic, helping others is as much about self-preservation as it is about charity, @CSMonitor reports.… https://t.co/0rMAlnf3Sn"
"BREAKING: Booster shots protect from omicron!  Not boosted yet? MARK YOUR CALENDARS! This Saturday, from 2:30-6:30… https://t.co/Kl8Jp8rg3M"
@RealBrysonGray It’s not even a vaccine which is blatantly obvious at this point 🤣
"@ChelsIsRight I mean it’s the same vaccine, but don’t tell Kyrie 😂 😂"
@11mmyJohns @go_oat @oberernst I agree that vaccines work and am fully vaccinated myself. But the uncontrolled glob… https://t.co/pCUfvYXpBh
"@graciefacelove @NYCMayor Hell, my pediatrician told my 18 year old son  it wasn’t necessary.  Said he’s not really… https://t.co/qINCUkYW2n"
"@JKolkin @DaevydDoyle @lisaappb @Shelly69839779 @RaleighBowman If you have a compromised immune system from cancer,… https://t.co/WyUD3dzBeQ"
"Make your holidays as safe as possible by getting your COVID-19 vaccine or booster ASAP. And, get a $25 gift card a… https://t.co/vlj2QRbu7e"
Plant based vaccine. Listen to that shit. Lmao
"As Pfizer releases preliminary research on boosters and the omicron variant, Marylanders are urged to get their vac… https://t.co/0xDRgoEMVP"
NJ TODAY: Judge blocks Biden vaccine mandate for federal contractors | Pfizer says its COVID-19 booster offers prot… https://t.co/nGSKFXNI3Q
"MP's on TV saying with a straight face. we may need a new Jab, every 6-12 months, to stay safe? So Bill Gates/Pfize… https://t.co/uI2q6m7HYm"
@Kenny_Mayne Can I Moderna boost an initial Pfizer duo?
@DrHarryThomas It’s not unusual for a vaccine to have a 3shot regime eg. HPV. It’s just we don’t usually pay as much attention.
@nikki_on_fire Yes. The FDA papers have it listed and under the contradictions on the Pfizer’s web site they have n… https://t.co/EK5X6U5WHF
@davidfranciscop @wojespn Here is the problem with your thought. This is 100% not a Covid vaccine. Did you know tha… https://t.co/NakI7dV5rB
It feels good to be a Pfizer Papi https://t.co/JknT31UDQ6
@Harris_Hill21 The vaccine is a bandaid on a large problem.
@poorscousertom Gather there's some science on this -on the twitter-sphere- I had 2 Pfizers then a moderna - good b… https://t.co/ZgKQW7Wvic
COVID vaccine mandate for NYC employees suspended by Supreme Court judge https://t.co/rweqdWNquH
@sheltondesigner https://t.co/lLo79oPk9D this is the link
"@tinaprink42 @KatinaClarke13 @LisaAirey888 @newsmax but you got vaccinated to be ""protected"". It seems like you are… https://t.co/kSz4k2mbmf"
@tweettruth2me It’s going to be like the flu. They will have a new Covid vaccine every year.
@DaevydDoyle @lisaappb @Shelly69839779 @RaleighBowman But it helps to prevent serious illness. No vaccine prevents… https://t.co/8FTwgjIKjK
"The Belleville Health Department will be holding COVID-19 Vaccine Clinics at the Belleville Senior Building, 125 Fr… https://t.co/2AOZqVzRc2"
"Through all the doom &amp; gloom and loud ass anti-vax peeps, we aren’t celebrating enough the fact that 80% of the US… https://t.co/e1OY5HR16S"
"@9NewsMelb @_StephAnderson When exactly did he say anything that can be referred to as ""anti-vaccine views""?!!! Do… https://t.co/H8PQmB15My"
"I’d be all for it if it actually protected people. A vaccinated person can live, work or even end up interacting wi… https://t.co/t6oYcbv9gL"
"@GovMurphy The Governor of New Jersey should focus on Jersey, where there are NO mask or vaccination requirements f… https://t.co/9lcDrCIOeK"
“Kyrie might get swayed into taking a plant based version of the Covid vaccine.” Lmao
The vaccine mandates are crazy as hell to me. Vaccinated people can still get &amp; spread covid soooooo we’re not real… https://t.co/dcyRzPJlfd
The CDC and the labs at Burger King presents…… the Impossible Vaccine! Covid-19 has met its match @egoldie80 https://t.co/eHZhO8Sx1L
The booster shot really is about to be the New ‘Fully Vaccinated’….
.@pfizer and @BioNTech_Group (in $GERM) say booster provides high level protection against #omicron variant.  https://t.co/9jHZpyQUSc
"Starting Dec. 20, the county health hub will offer COVID-19 testing from 8 a.m. to 10 a.m., Monday through Friday.… https://t.co/1iBAHkeaz2"
Although both the Pfizer-BioNTech and Moderna COVID-19 vaccines are highly effective in preventing documented infec… https://t.co/kTGrTRRdhP
"@ushantbeserious @CNN They could say, “Hello, I’m Pfizer and I like money” 🤷🏾‍♂️ https://t.co/e6FvilqPuf"
@dwnews The same goes for moderna. If you have three shots of that you were pretty safe just like the rest of them.… https://t.co/rPcBQV5YYT
"Let’s not forget, since Jan 6th, the GOP escalated their assault on democracy. Voting rights SHREDDED, roe vs wade… https://t.co/GCNKqJE3kS"
Lmfao not plant bases Covid vaccine gtfohhh https://t.co/GIQ4yxHPNr
People Who Get Johnson &amp; Johnson Vaccine at Elevated Risk of Guillain-Barré Syndrome: Study https://t.co/hUuejzkVJY… https://t.co/7xjerHIn5D
Guess who is profiting from these Pfizer jabs??  https://t.co/btrCj3yyr5
"@JRobertJohnson4 @GregAbbott_TX True, and they have said it many times that there are no exceptions to the COVID vaccine."
"@atrupar Republicans recognize they can exploit this to help win elections.  In OK, Gov. Stitt and the Repubican-le… https://t.co/ArfCmYHLzk"
What does their plan B change?  Masks in theatres but not in bars and restaurants 🙄 Vaccine passports in nightclubs… https://t.co/schhDzqGyZ
A federal judge on Tuesday blocked the Biden administration from enforcing a COVID-19 vaccine mandate for employees… https://t.co/JEBVE0h2se
Pfizer says its COVID booster offers protection against omicron: Pfizer said that while two doses may not be strong… https://t.co/q85OsWLTEc
Pennsylvania’s Fred Keller should be removed from Congress for leading his party’s upcoming vote against President… https://t.co/XlhOYB8N5e
COVID vaccine booster availability surges daily shots to highest numbers in months https://t.co/fDWFs07nl6 https://t.co/FGTkLPVuYw
"Many people may be reluctant to receive such a vaccine, which is mandatory in many countries and companies.https://t.co/PNnZ5BP0OI"
@B43Franco @WalkerBragman Using the term experimental vaccine might offend the shitlibs
Using the term experimental vaccine might offend the shitlibs https://t.co/lVnWqx2XBf
@FreeTheBobNJ Wow this is utterly disgusting. These people have zero clue that we are not allowed to know anything… https://t.co/4ZDWcdwz1Y
"@knoweuro @EssexPR @SirGrahamBrady As bad as that tortoise Drakeford, he's likely to go further than Johnson on Fri… https://t.co/gUXq06lLc8"
@BallouxFrancois Goal should never be vaccine uptake. Goal should be working to prevent and treat disease with any… https://t.co/C4CwF365lA
"""Princeton University’s Gerrymandering Project gave the Democrats’ new map an F.""  https://t.co/BDlUCztDtg"
@POTUS @VP @CongressDems @GOPSenate @USASupremeCourt Crooked judicial system. Judges were not vetted. They Also Pla… https://t.co/DvJn2tmlye
#Broadway news kept happening and the words kept pouring out.   🎭 Congratulotions to @WICKED_Musical's… https://t.co/Kb5ZrGODFO
@kylamb8 That was with no vaccine interference. We are pressuring these variants to mutant by stupidly injecting th… https://t.co/xQEXK5Tswe
"Which, to its credit, it mostly resisted doing, but that mostly seems to be due to luck, and the fact the anti-vax… https://t.co/oBwkLfthvd"
