@JOEL9ONE Pfizer 1 and 2 did nothing to me. Pfizer 3 put me on my ass.
@JannPhillis @KARK4News Recent weeks are proving the vaccine isn’t stopping the spread… vaccine isn’t doing it’s job
"There's a lot more adverse vaccine reactions than being reported, you could still end up w @TheJusticeDept ,… https://t.co/spcojFxUTd"
"@ASlavitt If someone has received 2 Pfizer doses, completed in January… then was (breakthrough) infected in Septemb… https://t.co/ODIxHfDHuo"
@ABC I just got my 2nd booster shot today. I was notified in my texting I am eligible for another booster.
"Survey: Vaccine hesitancy declines among faith groups, spurred partly by religious appeals  I was vaccinated in Apr… https://t.co/2yUL3XXTVB"
"I got the two Moderna vax shots,, awhile back I found out tonight that it may be the best of all the shots,,Moderna… https://t.co/XG62pKBL73"
Pfizer Says Booster Can Handle New Omicron Variant https://t.co/Sh3s4NrV8r via @YouTube
"@PhilWMagness If you are asking my opinion, I think everyone should get vaccinated  Risk is low, evidence suggests… https://t.co/qgnFpj5TE5"
"“Every so often Washington D.C. does something that lights up the phone lines. This is one of these moments,” said… https://t.co/jkVJj57phz"
These idiots will try anything - ANYTHING other than the simple measures that actually work: wearing a mask and get… https://t.co/zlt57DHR8E
42 million adults (18+) in the US have not had a COVID vaccine
@Gator_Bait7 Fuck that vaccine and fuck that lizard fauci
@FaheemYounus A 1% clear and present danger! The other 99% who contract the disease however are in the clear so Rus… https://t.co/pl4wFEPXVl
@jsnover Depends on where you're traveling. Went to NYC and they have a dedicated NYC COVID app that you save your… https://t.co/yNqrfu8Ixs
@rock_climber02 @ChiefsfanCHI @PhilMeup55 @BenHillmon It’s interesting how differently people react to the virus an… https://t.co/WNS3wq55Jd
The vote gave senators a chance to voice opposition to a policy that they say has sparked fears back home from busi… https://t.co/0NYcTQNlOf
@DavidAlanMack I got the 3rd Pfizer and the 1st shingles shot at the same time. Not recommended. At. All. It made f… https://t.co/U2byA5m4vo
@elle59871375 @libsoftiktok It should not be called a vaccine. That's too broad of a word and is misleading to thos… https://t.co/eUpkIynG4m
BREAKING: The Senate passed a resolution Wednesday to repeal President Joe Biden's vaccination-or-testing mandate f… https://t.co/9waKsBATXA
