bicth not even the actual vaccine was this bad how tf am i supposed to sleep???
"If someone asks you if you had a booster shot,  isn't the expectation, since their asking that, that you've been initially vaccinated?"
@davidfranciscop @wojespn That’s literally exactly what a vaccine is supposed to do. You take polio vaccine not to… https://t.co/DftywB4EfE
"@thehill @SenSchumer The people who, today, are against vaccine mandates, are the same people who, 500 years ago, s… https://t.co/qip3IUewvo"
"Tests show omicron 'incompletely escapes' Pfizer vaccine, but booster should restore effectiveness https://t.co/1gkotwI0aL"
NYC's New Vaccine Mandate for Kids Has Some Restaurateurs Up in Arms - Eater NY #money #makemoney #earnonline https://t.co/RPi7FP100V
Doctors weigh COVID-19 impact on children as vaccine drives ramp up - Reuters https://t.co/UXOet64XDL
republican coworker: when they told me i HAD to get the vaccine i decided not to. no government is going to tell ME… https://t.co/iCSSw5puC8
@yakalot2 @DailyMailUK Hahaha so stupid you don’t even see the point. He was basically forced into getting a vaccin… https://t.co/6uqS8Dgz92
"Omicron variant partly evades Pfizer vaccine's protection, study shows - CNN https://t.co/6AIbcuL9eN"
@Newsweek Why did a mouthwash company have to disclose that it won't prevent or help covid. Excuse me. But um. Like… https://t.co/88QPYNofOv
"i’m so excited for the next two weeks :) i get my booster shot, am taking myself on a movie date to see spiderman,… https://t.co/J0YQhVPreT"
@mitchellreports @ChrisJansing @MSNBC @mikememoli @MattMcBradley @PeterHotez @ahylton26 @drnatalietv @GarrettHaake… https://t.co/PwW0dQQLFH
@carol09013921 @BuckSexton Imagine living for over 60 years with neurological damage that’s degraded over the decad… https://t.co/iRnC21yDT3
"@carol09013921 @BuckSexton Actually no, they weren’t. My father-in-law who’s still alive today suffers major numero… https://t.co/LWmnjL38VE"
@BreezyScroll Wonder if that has anything to do with government forcing a vaccine that makes men and women both infertile 🤷‍♂️
"@Sen_JoeManchin So you’d rather live with an ever-mutating, deadly, endemic virus that only continues to exist beca… https://t.co/MHCCkxGrpx"
"@JonAguiar @ikepoker What about poor person who too, vaccine but can’t get a bed because of anti vaxxers? (See my c… https://t.co/9cROwDnQlX"
@EmilyCroyBarker @NikkiMcR @mmfa It's actually making me regret getting the vaccine smh
@seanconner2023 @Defetyone Is that seriously the basis of their argument? That COVID (not the vaccine) has been sho… https://t.co/WpMLO5T9KH
Think Carefully About Accepting The Concept Of VaXxine Passports https://t.co/Wu4vu033fk #Democracy #Freedom… https://t.co/x82aF6yIXr
"@saezutte @keitais Chise the Moderna furry is very, very good"
@DarnelSugarfoo Altitude + vaccine = blood clots
@a1Xnotafed I had to get some vaccines before my mission and got vaccinated for the flu while I was serving. I’m pr… https://t.co/EJVR87rElC
"I could not imagine thinking Listerine, Ivermectin or magic dirt laced with arsenic or whatever 🦇💩 idea they come u… https://t.co/8LLyIPS2t7"
The vaccine’s I had as a child worked and were one and done.
NY archdiocese waiting to respond to city’s private school worker vaccine mandatenull / Ball Lunla/Shutterstock  Ne… https://t.co/8zJqHW3vRc
@candicd the impossible vaccine 🤣🤣🤣🤣 you down? LOL jk jk don't kill me https://t.co/FV5giKfCFm
"50 years ago, a 6-year-old boy became the first known rabies survivor https://t.co/mDXugTy6qO"
@benryanwriter @MonicaGandhi9 @NBCNews @AstraZeneca My understanding is this is also approved for people with a dia… https://t.co/EWNcohSb0E
"Vaccine Makers Racing to Update COVID Shots, Just in Case https://t.co/XaEAx3IxQg"
"@AngelaBelcamino I believe in science. The science that if you still can transmit, catch and go to the hospital wit… https://t.co/ExKGEhYTqs"
@StatusNub @bennyjohnson @zhusu Don’t be so naive. An experimental vaccine isn’t equivalent to ones that have had y… https://t.co/KecF9KIRxY
