@Roshan_Rinaldi @Out5p0ken @v_vossie My phone isn't great! I guess I got the wrong vaccine.
"Covid live: WHO says booster jabs ‘risk exacerbating’ vaccine inequity; Denmark to close schools, nightclubs | Worl… https://t.co/3DVYhTQLcu"
"Senators voted 52-48 on the resolution, which needed a simple majority to be approved. Democratic Sens. Jon Tester… https://t.co/CfUtKAnwkb"
Link:  https://t.co/LBLb19f1b5
CNN: Senate votes to overturn Biden vaccine mandate for businesses. https://t.co/7ovJYKt8iu
Senate Rejects Biden's Vaccine Mandate For Businesses - https://t.co/SXGe8lhOoI
@4brTVT58U0kLWtk So true and here is the proof.  Omicron variant 'made €9bn in week for top Pfizer and Moderna shar… https://t.co/huLYYuy2LT
"@e11evenseas And after living in a covid era for 2 years now, we have enough data to deduce that on average covid i… https://t.co/pi5wVyjkOK"
"@e11evenseas In the US, Canada, Germany and Australia the same people who are calling to kill anti-abortion laws ar… https://t.co/0tnb5pQg5S"
@JeSuis_Faith I’m definitely in favor of the vaccine mandate. We’re dealing with a health crisis. It’s a matter of life and death 💀
@cccammy1 Everyone is going to need a vaccine passport if they want to travel outside the U.K.
Ahh you're pro choice? Like your body your choice? Okay. So why do you want to force people to get vaccinated? Not… https://t.co/Hk8zMTF9KI
Pfizer says early tests found its COVID-19 booster protects against omicron https://t.co/Y5c8r3kGED
Common sense has somehow influenced the Senate not infringe on Americans Constitutional Rights with this amazing re… https://t.co/kTZx8B2Jez
@yara_ysf I think there's a restriction that says that there's a minimum gap of six months between the second and third dose of the vaccine
I'm about to take my third. 😃 https://t.co/bQ2qCsIRV4
@Skinzfan10 @RapSheet You realize the vaccine doesn’t 100% prevent people from getting Covid right?
"@TEinsteinMD @KonstantinKisin A lot of docs smoke and/or drink heavily, so I wouldn't put too much stock in using t… https://t.co/FJsDqMiQk1"
I’d rather have them &amp; not need them than need them &amp; not have them  💉  Vaccine makers racing to update COVID shots… https://t.co/mK7IAnn3wo
@JulieBanderas @moderna_tx Why doesn't someone on Fox show the video of Ted Koppel telling Brian Stelter that Trump… https://t.co/0HhLaN54Oy
@Sen_JoeManchin You are on the wrong side of this issue. The vaccine mandate is what facilitated private businesses… https://t.co/UTmRpIEYTB
"@KYAgCommish @LeaderMcConnell @RandPaul It will never get anywhere, and do you wanna guess why? A vaccine mandate f… https://t.co/UVBewHuPpb"
"@CNK2011 @nytimes Which company would you be ok with developing, manufacturing and delivering a vaccine?  And do yo… https://t.co/0nrk6L72MU"
@sarahbeth345 Whatever happened to the BLM people mad about the vaccine mandates preventing many black people from… https://t.co/KjB8AcTZgw
"@StockTrader1749 @ClayTravis It’ll be a talking point Democrats try to use against Republicans to gain votes, same… https://t.co/LFBypTx7Pi"
"Despite the 52-48 vote in the Senate, the House is unlikely to take up the resolution against the mandate for emplo… https://t.co/N38UYXkbUK"
NY Supreme Court Delivers Crushing Blow to Mayor Bill de Blasio’s Vaccine Mandate https://t.co/nfUqmHEzjC
@barcmont @newsmax The fact that anyone thinks 5 year olds that are at 0 risk from Covid need the vaccine is insane.
@soysenoritaa The vaccine doesn’t make you immune just lessens the severity of the symptoms. Salemteek ❤️
@debatesforfun @MoldySockPuppet @Tis4Turlz @MarshaBlackburn @GOP I understand vaccine hesitancy; I didn't want to g… https://t.co/q9jSZYbgaT
@julie_goats I also did J&amp;J first with a Moderna booster. Fever to 103 for a day on J&amp;J. Felt crappy for a day on M… https://t.co/IhxvtZSXDX
Why should you get vaccinated and boosted? We asked UT Medical Center staff answers https://t.co/8wsNsPRONU
"With vaccine resistance high, Poland faces surge of deaths (from @AP) https://t.co/0RLnhPPiFN"
So the inventor of the Moderna Vaccine believes CNN and Pfizer are colluding together.... wouldn't be surprised.
@NoVanessa @JamieBQuynn13 @TheOGpianoGeek I had less arm soreness after my moderna booster than either Pfizer shot.… https://t.co/4XYqN0RPei
Conversely:  I’ve heard the argument that this can’t be a vaccine; vaccines “eradicate” disease and you can still g… https://t.co/GBnFycHgeE
All 50 Republicans voted against Biden’s unconstitutional vaccine mandate for private businesses. Two Democrats joi… https://t.co/wZdGwUN9AS
"@SenatorTimScott You are wrong, if you actually gave a damn about people you would support vaccine mandates"
Big news: The Senate voted 52-48 to repeal Joe Biden’s vaccine mandate for private businesses employing 100 or more… https://t.co/XN5ZfDeErx
36 hours post Covid vaccine booster. Side effects include ugly sleeping and feeling hit by a bus. It’s the crushing… https://t.co/M71efF5kPE
Senate votes to nix Biden's vaccine mandate for businesses https://t.co/voEFbyoM1G
@HuffPostPol Didn't he get the vaccine?
"If medications that have gone through years of testing list 30 side effects including possible death, how the hell… https://t.co/6z5LDlyLdy"
How often does a shot have to be administered to change its definition from a vaccine to a therapeutic?
"@pye_arnie1 There literally *are* people who believe there's a chip in the vaccine, Arnie. Glad to hear you're not one."
