"WHAT "" HORSE CRAP ' I will never take another VACCINE. https://t.co/pkCS6IWxpR"
@SophNar0747 So many fancy words! My conservative brain cannot handle!
"@CoCoHealth This is vanishingly rare, but a great attempt at public health messaging using fear to promote vaccinat… https://t.co/eEjdG1HLBl"
@RLOW____ @TizzyEnt That's why guys and gals need to get the hpv vaccine.
@skane2600 @hardhatintellec &amp; now it’s not much surprise considering learning that data was deliberately falsified… https://t.co/AOgu0FFkER
@vipermk1 @rick_pittman Explain how me being vaccine would protect you or others? Go ahead. I don’t care either way… https://t.co/QGDBwObRYH
Senate votes to nix Biden's vaccine mandate for businesses https://t.co/Mq3f9VPegB  Download Now https://t.co/6n7PKNstIE
"34,000 LAUSD students miss vaccine deadline, must enroll in independent study or leave district… https://t.co/0pJF2oRGF1"
@dremilyportermd And yet vaccine mandates only require 2.
"""..our vaccine for the Omicron variant should be a three-dose vaccine.""  beinz as how   they HAVEN'T MADE A VACCINE… https://t.co/Pie4H5tptl"
"@Christi92965066 @cryborg ""Listerine to prevent Covid"".... 🤭😑   What's the next calamity in the line up to avoid a… https://t.co/m7wBCzlP9O"
"@jwhome3 @TheCounterSgnl I knew about your beliefs, I just didn't have the right words. Though I don't agree with h… https://t.co/cxY3sFoDW8"
@ramonaquimby20 @regularhuman0 @What46HasDone @SebGorka You're ignorant on so many fronts. Vaccine mandates have ha… https://t.co/vd70s72Qkm
"@owennogrady @rawdenimagainim I'm of the opinion that vaccine mandates, like we have in LA now, are worth the backl… https://t.co/N6SmiZwwgw"
@Chris_arnade I suppose they could encourage the pharmaceutical industry to create a vaccine and then everyone would get it.
@Cole_G2504 Damn! That’s crazy man. I was down for the count on the 2nd (Moderna).  I hear some people are doing Pf… https://t.co/vasqgdCeW7
@_Capitalist_Pig @disclosetv Lol. Really? Obviously they don’t want to get sick. It’s not about the mask…🤦‍♂️ Its a… https://t.co/Iqeb29OwkP
"(Oil Briefing)  Crude Oil Rose as Omicron Pfizer Vaccine Study Boosted WTI Outlook, Where to?  #CrudeOil #Omikron… https://t.co/e9zszDdtRk"
@owennogrady @rawdenimagainim so what about free covid testing or vaccine mandates or paid sick leave  lockdowns ar… https://t.co/1krBF9mhOn
Party of Law and Order and Family Values: Insurrection?      No Problem Keep The People Safe?       Hell No  @GOP i… https://t.co/h4nb8o3fvt
But the vaccine is the problem https://t.co/uYjZr17fgB
"Beltway Insider: Biden/Russia, Ukraine, NATO, COVID/Vaccine Totals, Omicron, Abrams, Michigan https://t.co/BgJBXkquId"
Had Pfizer.  1- felt nothing  2- felt nothing  3- lost 3lbs of water weight in one day. My stomach ached liked I’d… https://t.co/djEGYVZ8d0
@iamshawnjones @John_OD87 @McLovinRobbery @OccupyDemocrats The plural of antidote isn't data.  You have had access… https://t.co/ccGc0gcM9p
@LamesApps @azureeblue @Diana011962 @chipfranklin The vaccine does not cause infections in lymph nodes. Sorry you g… https://t.co/oXJkbF5NeV
"@smith_mistah @DolioJ PHI is a bit more restrictive than PID. That said, it's still a pretext.  Basically, everythi… https://t.co/iYJmTTQtms"
@FSakes1000 I had absolutely no reaction when I got both my Pfizer shots. Worried though that some of the medical p… https://t.co/1QqoNobcKO
@APosoukh @Kevin_McKernan @CryptoWooX @deadlycassowary @BarryCPearson @ProfTimNoakes @hmatejx @j00d0k1ck @jsm2334… https://t.co/5zU9t9tFOr
"""In Bayview Hunters Point, 18% of the neighborhood in one census tract had developed COVID-19, compared to a tract… https://t.co/p5LfGYwTBo"
"@jstash14 @gabenagynyc @ikepoker @Dudaseifert Well, I got three jabs this year - flu, covid, and tdap. Im ok. Still… https://t.co/3bK6ZsLspN"
"Senate passes resolution to repeal Biden vaccine mandate, with help of two Democrats https://t.co/i1hfj0gabG via @nbcnews"
Got boosted today! Pfizer! No side effects!
"@rtvipraio @SebGorka Apply Booker T. Washington's statement to taking the Covid ""vaccine."""
Great conversation starters for dating during covid:  What have you been doing since covid? What vaccine did you ge… https://t.co/BLkrdXAEX4
https://t.co/WbBND7lIeq The Covid-19 Vaccine: Employer and Employee Rights https://t.co/mSBE8PzRXL
Plant based vaccine coming soon…..
"Trying to keep America sick like these dildo heads, is disgusting. The polio vaccine was mandated! And look what ha… https://t.co/tpZONjQXX7"
