STUSPS,MASK_SENTIMENT
AL,0.14093959731543623
AR,0.1596958174904943
AZ,0.18587360594795538
CA,0.18835616438356165
CO,0.1419753086419753
CT,0.14601769911504425
DE,0.09523809523809523
FL,0.1348314606741573
GA,0.1610738255033557
IA,0.1130952380952381
ID,0.12195121951219512
IL,0.12074303405572756
IN,0.19148936170212766
KS,0.16149068322981366
KY,0.16783216783216784
LA,0.13071895424836602
MA,0.08333333333333333
MD,0.15
ME,0.16521739130434782
MI,0.09883720930232558
MN,0.09523809523809523
MO,0.13043478260869565
MS,0.08053691275167785
MT,0.18478260869565216
NC,0.12030075187969924
ND,0.18309859154929578
NE,0.1625
NH,0.13333333333333333
NJ,0.21678321678321677
NM,0.1780821917808219
NV,0.15584415584415584
NY,0.09859154929577464
OH,0.14184397163120568
OK,0.14705882352941177
OR,0.22950819672131148
PA,0.12727272727272726
RI,0.12056737588652482
SC,0.14285714285714285
SD,0.15625
TN,0.22580645161290322
TX,0.1069182389937107
UT,0.2074074074074074
VA,0.17419354838709677
VT,0.1262135922330097
WA,0.16428571428571428
WI,0.24203821656050956
WV,0.140625
WY,0.14754098360655737
