STUSPS,CDC_SENTIMENT
AL,0.2
AR,0.26785714285714285
AZ,0.24017467248908297
CA,0.2384937238493724
CO,0.2647058823529412
CT,0.2631578947368421
DE,0.16666666666666666
FL,0.1744186046511628
GA,0.12269938650306748
IA,0.08771929824561403
ID,0.18181818181818182
IL,0.3598130841121495
IN,0.34579439252336447
KS,0.17592592592592593
KY,0.39603960396039606
LA,0.22429906542056074
MA,0.3448275862068966
MD,0.2698412698412698
ME,0.25
MI,0.24175824175824176
MN,0.3473684210526316
MO,0.26548672566371684
MS,0.22018348623853212
MT,0.14285714285714285
NC,0.28448275862068967
ND,0.23809523809523808
NE,0.1592920353982301
NH,0.125
NJ,0.13533834586466165
NM,0.37755102040816324
NV,0.20161290322580644
NY,0.3939393939393939
OH,0.21904761904761905
OK,0.24358974358974358
OR,0.3013698630136986
PA,0.297029702970297
RI,0.3
SC,0.23076923076923078
SD,0.1875
TN,0.3482142857142857
TX,0.3162393162393162
UT,0.34375
VA,0.2109375
VT,0.16666666666666666
WA,0.27835051546391754
WI,0.3
WV,0.11764705882352941
WY,0.28
