Prison for Der Fuher Fauci lock him up toss the key away please https://t.co/qa43kvDcuy
Screw Fauci!! The only thing  I'm asking and requiring is BRING SOME WEED #FauciLiedDogsDied #FauciLiedMillionsDied… https://t.co/ZOf4sxKWil
Fauci is a traitor period and he should be arrested and be behind bars https://t.co/J4WhjGzVQX
"All of the EUA jabs are now unlawful since the FDA has approved Comirnaty®, but they are still dispensing and pushi… https://t.co/zzAuXiyhN4"
@alavelle1 Sorry for you Andy.  But the spike doesn't listen to Fauci and others. It travels all over the body with… https://t.co/4mMT7QhFVu
@ddiamond When you cite fauci as expert rather than bureaucrat you risk your own credibility.  Btw I'm vaccinated a… https://t.co/4xYVMspt4N
"@KatiePavlich @Julio_Rosas11   Hey, Fauci, @NIH @NIHDirector @CDCDirector @CDCgov....what is their vaccination stat… https://t.co/2BieaZa7UM"
"Comrade Fauci says get vaxxed or we will force the jab on you and your family!!!  ""Sometimes You've Got to do Thing… https://t.co/mpIOKIxrg5"
It’s DISGUSTING American parents believe #Fauci &amp; the government care about their kids &amp; want them jabbed with vacc… https://t.co/CSp5OpflIx
"BREAKING: FAUCI IS A SNAKE - It's ""when, not if"" definition of fully vaccinated will change  https://t.co/VaQ2b2zIRA"
looks like he married UP... at least in height. and the award for profiting for crimes against humanity goes to the… https://t.co/aW067wvrKg
@KwikWarren Dr Fauci is missing part of his flock. The disconnect in American Society in following an educated path… https://t.co/VowjEqNwBV
@TPostMillennial Was this said by Jeffrey Epstein or Fauci?   Owning the bodies of other people violates the 13th Amendment
"TY @glennbeck for your in-depth investigation on @TuckerCarlson into the origins of #ChinaVirus and #Fauci, our gov… https://t.co/ajpMyzsZvA"
Fauci is such an ass. https://t.co/p3n6ir4jzl
@bruce_mcgonigal Comparing #Coviddeaths to the #Holocaust holds up bec #Fauci and #BigPharma collided to outlaw pha… https://t.co/RqmgiM46oW
@MattWalshBlog And your information is from Dr. Fauci since he represents science!!
"Fauci has obviously ""forgotten"" that we live in a Republic, which some people call a Democracy, and that is governe… https://t.co/dEXlb3KHaU"
@megtirrell Do you actually believe what #Fauci and #Bourla are telling you?  You sound like a fan fawning over them. Wake up!
@monicag0321 I don’t think Dr. Fauci would sign off on this 😂😂🤦🏻‍♂️🤦🏻‍♂️
Remember the boosters you got for your mumps measles and polio shots??  Oh wait that’s right we didn’t need them un… https://t.co/k6IpktvNHj
"‘YOU K!LLED MILLIONS, YOU QUACK’: SEN. RAND PAUL WIPES THE FLOOR WITH DR. FAUCI IN HEATED EXCHANGE – YouTube https://t.co/iPkpsVqPoT"
@delbigtree Have you read David Martins Fauci dossier? Simply remarkable!
You know who’s personal opinion no one should give AF about? Dr. Fauci’s.
Fauci now recommends tenting your house for holidays and asking for proof of vaccine!!https://t.co/BvW7CBEIpV
"#Fauci is a Very Evil Man — Prove it wrong!  “Unusual times” he says, but NOT for the reason he gives!  https://t.co/kFUeAYqUtt"
Overnight Health Care: Pfizer booster may be crucial against omicron https://t.co/3081WhgrMf -- ABC says it may not… https://t.co/ecJHSA0NIH
@Breaking911 Fauci lying
@YetiYeff @mrsdarklehyde I don't follow a lot of the coronavirus stories as there is misinformation/disinformation… https://t.co/QdDbY9t02m
CanNOT believe Americans are STILL falling for the SCAMdemic &amp; the forever movement of goalposts by #FraudFauci! It… https://t.co/56MpWQ1qms
@tomselliott We know Fauci is lying https://t.co/7oSRbKpTlO
@duty2warn One huge mystery: what does the MAGA cult think Fauci’s motive is?? Why would he lie or exaggerate covid?
Back Off Fauci - Gov. DeSantis Criticizes ‘Faucism’: ‘We Are Going to Protect Your Freedom to Make Your Decisions’ https://t.co/3CLSlwLI2j
Dr. Mengele doesn't like ze free vill. #Fauci #LiberalismIsAMentalDisorder #Evil   https://t.co/lfftIE9X1c
"Has Lyin' Prager addressed the heinous remarks made by Laura Logan, of Fox News, equating Dr. Fauci to a NAZI?   Ce… https://t.co/WzOVqA8oXS"
"@POTUS Hell,  I haven’t gotten the original shots yet.  I am following your lead during the campaign that we can’t… https://t.co/9fDcmB2eaZ"
"@prageru Off topic but has Lyin' Prager addressed the heinous remarks made by Laura Logan, of Fox News, equating Dr… https://t.co/XGHTHJiMY3"
"@prageru Off topic but has Lyin' Prager addressed the heinous remarks made by Laura Logan, of Fox News, equating Dr… https://t.co/VeUCw86YOr"
"Santa and his elves have received their #COVID19 #boosters and Santa’s reindeer are healthy and ready to fly,… https://t.co/FAVVsKNtkK"
Dr. Fauci is the 'opposite' of what you want in a leader: Rand Paul https://t.co/QkhaiGoxQO
@trustmehahaha @ragean9 @DonaldJTrumpJr Actually my disdain was created by Fauci’s lying to get the results he want… https://t.co/2jsGOIwmzy
"The guy who proclaims ""I am the science!"" also tells children they are safe from a magical being who visits them on… https://t.co/QZU47aOThF"
"Fauci: It Is ‘When, Not If‘ Definition of Fully Vaccinated Will Mean Three Shots https://t.co/UJQ1BGyP1Z via @BreitbartNews"
Jimmy Kimmel Has Had Enough of Scumbags Attacking Dr. Fauci for Trying t... https://t.co/kbrPVtGPmb via @YouTube
Dr. Fauci believes the definition of 'fully vaccinated' will change to include boosters. https://t.co/cjvwbD9L01
@MartinTruther @SabbySabs2 @SageKMalone1 @SalaamEfendi @SallySamsara @SamirAbdulG1 @sandtats @SandyMoly… https://t.co/qOKZUDr8wP
"@KwikWarren In the case of Dr. Fauci and anybody else they demonize, we are witnessing psychological projection. Th… https://t.co/yxw5tgSXSq"
@RubinReport Now would be an appropriate time to mussel Fauci. He has never been in charge of the C19 Response unde… https://t.co/znc2UaEovd
