On the first day of Christmas Fauci gave to me. A virus Covid 19.  Continue this song below
@RandPaul  Please ask Dr. Fauci this; What therapeutics are effective besides the jab because that's not a theraput… https://t.co/VCUG8Pcd7l
"@TheAtomSea @CharlesMBlow I looked it up and ""just as much"" is inaccurate. The CDC: ""COVID-19 vaccines can reduce t… https://t.co/66sjND5dIe"
Discussion of RFK Jr.’s new book about Fauci and ilk; the attack on Pearl Harbor and commentary On WW2 not all of w… https://t.co/V5ttLLMp5L
@KindeandTrue @rothanwalker @timraleigh @AsTheRain1 It is not possible to humanize mice from a dead body. It has to… https://t.co/V2v8cb8ywO
@unhealthytruth Next virus again funded by Gates and another billionaire and ran by Pinocchio Fauci. It’s populatio… https://t.co/C4yTe4sFXZ
"@THETMANSAYSSO @LetsAllVoteRed @crypto_tyme @JackPosobiec @laralogan And no, Fauci isn't the reason we're in this m… https://t.co/4F8keEe00j"
"@LetsAllVoteRed @THETMANSAYSSO @crypto_tyme @JackPosobiec Also, @laralogan was fired from 60 Minutes for shoddy jou… https://t.co/5mX1zlD9Ii"
@jabawalky @renmorris @thehill youre frickin hopeless. regardless....how is ANY of it the sitting presidents fault?… https://t.co/XPHz2bmlFE
"@annbauerwriter Listened to Scott Atlas on a podcast but have not read the book yet. And another best seller, The R… https://t.co/Uwcx3wgBkf"
@jabawalky @renmorris @thehill taken what more seriously? he tried a ban. got lambasted by the left. he listened to… https://t.co/QzMpTut9Ya
Don’t tell Dr Fauci there’s a dog breeding center… 😧 https://t.co/3kf0hVv5Iw
@realDailyWire Yeah ... I am sure Fauci is
"I have a response to Fauxi on this, but it would soil the internet were I to share it.  https://t.co/yLqCX8qont"
@notdred @jeperillag Didn’t Fauci give a cautious thumbs up? Hoping he has good sources.
@BryanDeanWright When will fauci be held accountable for plagiarizing hitler so much
"@guiltypanacea Have you looked at original retweets? Not her reply to Fauci's reply? Originals?   Again, I think it… https://t.co/COOE32Gx12"
@guiltypanacea That's...not what was compared to the Holocaust (that was specifically about the Fauci dog experimen… https://t.co/SCD1xPuuHH
@laralogan I would agree with your assessment of Dr. Fauci. Stand firm. https://t.co/rCU8rrHoCS
@wissewords @pblest Are you also one of these people who thinks they know more about infectious diseases than Dr.Fauci?
Mr. Fauci my family has recently recovered from Covid. Why do you continue ignore our natural immunity? https://t.co/h6EyymmxAi
Mr.Fauci I’m thinking about asking anyone I spend the holidays with if they recently have gotten the booster. Vacci… https://t.co/Jga2cOuECk
@NickForVA Ta hell w/Fauci!! #Naturalimmunity  I have proven  natural immunity..where is my natural immunity card??… https://t.co/QwYrmQXRCl
Love watching @RandPaul and @tedcruz own Fauci in viral clips but when are we going to see Fauci actually up on cha… https://t.co/A2KJNvf3wP
"“Santa already has great innate immunity,"" Dr. Anthony Fauci said. ""This year he is even more protected because he… https://t.co/l6M4sOwZpm"
"“Santa already has great innate immunity,"" Dr. Anthony Fauci said. ""This year he is even more protected because he… https://t.co/gtpyXVZzJZ"
Pretty sure the Grinch isn't vaccinated.  https://t.co/z5O2imecHQ
@TODAYshow I hope that Fauci &amp; all you news organizations are held responsible when there's a massive die off in 3-5 yrs!
@roost0 Some point later today I will post all of the fabulous lies that your leaders that you blindly follow have… https://t.co/cH4I1S8TEy
It's definitely a hard hitting comparison.  Fauci is too proud to take criticism from anyone. Humility would go a l… https://t.co/bAPrwOCieX
@Daily_Press at its finest: article says “Pfizer said Wed that a booster dose of its Covid-19 MAY PROTECT against t… https://t.co/NPSWVUNLiN
@roost0 And Lord Fauci and the CDC both said initially that it would prevent you from getting Covid and that you co… https://t.co/iVVWUxKRUo
"Not only overhype…. See the book:  Inventing the AIDS Virus  by Peter H. Duesberg  Regnery USA 1996, 720 pages, ISB… https://t.co/3lCAjOCNag"
Media is mostly silent as across Europe and beyond anti-restriction protests continue to grow… https://t.co/BUUHfiIkar
