How many COVID patients has Dr. Fauci treated? Asking for a country. https://t.co/yNlqYXUmqg
@AGEricSchmitt now sue Fauci. He’s stomping on the constitution and he’s not an elected official. He needs to be go… https://t.co/Urd3jQlIsY
YouTube Censors Song Calling Fauci A ‘Sad Little Man’ (Video) - https://t.co/eSYjSvFzRM
@RWMaloneMD It is passed time for #fauci to be arrested…
Only liars change their stories constantly. Fauci has been all over the place with his covid lies. https://t.co/mRnvxSkIRS
"Fauci: It’s ‘when, not if’ definition of fully vaccinated will change.  The arrogance of this man is astounding.… https://t.co/XtoimzpFtk"
@Liz_Wheeler I wonder how many will be attending at the Fauci house?😎
@fugitivemama Listen to the @RobertKennedyJr interview with @TuckerCarlson if you can.   Kennedy describes how NIH… https://t.co/NLYritYPD6
"@ScottAdamsSays ""Live vaccine"" may be overstating it. But Anthony Fauci's middle name should be SCAREMONGER."
@tjgiven @ComradeVero Early treatment including ivermectin was far more successful than restrictions and vaccines.… https://t.co/M53n29Qhda
Lol at the backlash on LINKEDIN on IU’s post about honoring Dr. Fauci. The one place you should REALLY refrain from politics.
"What an IDIOT! Yet, he calls himself a Dr.? A Scientist? Fauci is a QUACK! https://t.co/ZUkYrnpIXy"
"While Dr Fauci certainly elicits strong emotions when he speaks, what constitutes full vaccination (2 shots ? 3 ? M… https://t.co/7mBhi4Njst"
Judicial Watch - Judicial Watch: New Fauci Agency COVID Records Reveal Information about NIH Research into the Coro… https://t.co/Ejqw5cMh4U
"@andrewcuomo, Dr. #fauci and @NIHDirector should be in #prison.  They are responsible for more deaths than… https://t.co/l2n4xHo4hT"
"Dr. Fauci Says It's ""a Matter of When, Not If"" the Definition of ""Fully Vaccinated"" Changes (VIDEO)… https://t.co/n3lgk9w5y6"
Fauci: Definition of Fully Vaccinated Will Be Changed https://t.co/XVzmqmywWQ
"@Motivation724 Medical advice? Fauci.  Tae-kwon-do, MMA, commentary, stand-up, eating roaches, hunting and cooking… https://t.co/PKxxq9zJLq"
"Biden, Fauci Seek More Rules, More Regulation, Less Liberty: Rand Paul @LeaderMcConnell @SenSchumer @GovBillLee… https://t.co/fwUC5a0sZ4"
"He should know. He helped plan the whole thing. Bill Gates, George Soros, Anthony Fauci. These 3 are the most evil,… https://t.co/tXgXV2lK70"
Yo.      Crenshaw.        You takin lessons from fauci on fukin the American people? A$$HOLE
@volpiranyas @AndrewLazarus4 @doritmi @LiamKav @mcfunny @BatRock8 @Top_Muppetries @MdRisette @TakethatCt… https://t.co/YMtLKAKd6C
@jessica_mumma @NKCSchools Crazy thing is people don't realize that per cdc guidelines which almost all districts u… https://t.co/YQ3piVQZZG
Fauci is a fraud. He loves to stoke the fear factor! #FireFauci https://t.co/FYhsIeptdY
"Dr. Anthony Fauci said it's only a matter of time before the definition of ""fully vaccinated"" against the coronavir… https://t.co/ot1Bi1FWCV"
Fauci x OJ collab..  “IF I Did It”
"Presumably they are blaming either Joe Biden, Kamala Harris, Dr. Fauci, or Antifa.  Assuming, of course, that they… https://t.co/3ABRAmA6OI"
@Eric_Schmitt fauci profits socially off of being a prophet of fear.   a dangerous incentive loop that's been runni… https://t.co/h9pInLBb4y
Soon you might not be considered fully vaccinated without a booster.  https://t.co/vnH5tAyfgH
@TuckerCarlson don’t fauci tucker carlson 2021 my christmas
Fauci Ouchy Continues.   7 Early treatments using repurposed drugs don’t work 8Full liability protection is necessa… https://t.co/qcyfR1VeAu
10 Fauci Ouchy lies.         1The vaccines are safe and effective 2Masks work 3The vaccines are the only way out 4V… https://t.co/Hf16xKmPD7
"NAZI 🤬DR. FAUCI👿👹: ""I would prefer, and we all would prefer that people would be voluntarily getting vaccinated, bu… https://t.co/3DecQrIiZi"
@JustaCoinToss I think Pfizer gave the most bucks to Biden’s campaign.  I thought it was weird and creepy yesterday… https://t.co/tsIKJxOu2R
"If we compare NIAID (Fauci's agency) to, say, the DOE Office of Science or the NSF, the latter two DO have bigger b… https://t.co/ibP8VSdLbv"
"Interestingly, all of the highest paid federal employees are directors of various health agencies (and doctors).  https://t.co/WLhP2y9ZMu"
One of the interesting bits of trivia I learned when reading about Fauci is that he is the highest paid federal emp… https://t.co/gf3pleT83g
FUCK DR. FAUCI!!!   I REFUSE BOOSTERS OR ANYTHING ELSE!!  THIS IS NO LONGER ABOUT SCIENCE!! https://t.co/XP1OB9dxUc
"This week the Brentwood Public Library has 22 new books, four new movies, and one new music CD.  New items include… https://t.co/gEUNWm0RkW"
