@RWMaloneMD It is passed time for #fauci to be arrested…
@Gator_Bait7 Fuck that vaccine and fuck that lizard fauci
"By the way, how did Lara Logan ever get on 60 Minutes?  She should be sent to the Holocaust Museum along with Marjo… https://t.co/DDycgl0Wfs"
"@taypeinternat How do people get away with slandering Dr. Fauci like this? And they just can’t see how antivax, ant… https://t.co/tXBy8YWlcC"
"@andrewcuomo, Dr. #fauci and @NIHDirector should be in #prison.  They are responsible for more deaths than… https://t.co/l2n4xHo4hT"
Fauci Warned Trump Administration a 'Surprise Outbreak' Was Coming in 2017 https://t.co/3AVYqpdyNN via @YouTube
"Fauci Slams People Who 'Make Their Own Choice' With 'Free Will,' Calls For Biden To 'Clearly Supersede Individual C… https://t.co/epmba1gOIT"
Dr Kieran Moore will be in the same isolation experiment/lodge as Dr Fauci which will be labeled #VaxCamp for VIPs… https://t.co/B80VVOH2i0
"@KwikWarren There is no logical reason. It’s purely evil, hate driven propaganda intended to unite the kult in oppo… https://t.co/a57eGgBQZZ"
Dr. Fauci is the 'opposite' of what you want in a leader: Rand Paul https://t.co/fbUTeSoizK
1/ First on the list to be sent to #VaxCamp ( we want to make it sound fun) will be Dr Fauci. His sociopathic tende… https://t.co/Lhew8zpdkF
"@ScottAdamsSays It’s not just the Fake News media.  You also have political leaders saying, “don’t take the Trump v… https://t.co/UO7bZX8oVW"
@lacroicsz I’m still mad people ain’t wearing more than 2. I’m thinking 10 to keep us all safe. Fauci said the more… https://t.co/v5uTUBVEMY
@newsmax He should have fired Fauci too!!
"When the Republicans win the congress next year (which they will), you will see Anthony Fauci resign. Because he kn… https://t.co/muip6UzJEK"
Omicron variant is not near as bad as delta.dont let Fauci tell u anything different he is a partisan hack.makinv a… https://t.co/FCF67lE4jP
@owillis Got my booster and my arm is slightly sore...THANKS FAUCI
@LowellBennett9 Fauci wants to maintain his dimming star status.
YouTube Fascists Censor Song Calling Fauci A &amp;#8216;Sad Little Man&amp;#8217; (Video) via @co_firing_line - https://t.co/eBsD79G603
"If given the opportunity to sit down with Dr. Anthony Fauci, @Dougsbriefcase says, he would ask him “to apologize f… https://t.co/qmvsBJKN8W"
@Ssummerlovin00 Why should people be FORCED to receive a vaccine that we all know isn't 100% effective at preventin… https://t.co/CWbIDVurJU
Fauci's agency funded China's bat coronavirus research for years: Judicial Watch report https://t.co/Gz7iWQ3YMK via @JustTheNews
@elegationvain You’re anti-vaxx because you’re anti-mandate. I didn’t make up the definition for this. It was chang… https://t.co/7IRdKgFH56
"@tiredof88977376 “No, I don't think it will go on for the rest of our lives”  It’s been 2 years. It is NOT deadly.… https://t.co/9KE1hYkiwN"
YouTube Fascists Censor Song Calling Fauci A &amp;#8216;Sad Little Man&amp;#8217; (Video) via @co_firing_line - https://t.co/vwQI3kE2Bf
Early evidence points to Fauci being a limp dick https://t.co/ulWl8ts9eD
"To the Fauci-mobile, Robin! https://t.co/D47s9xCIDH"
I don’t call Fauci a Doctor. Because everyone knows he isn’t. #ArrestTony https://t.co/cqHq5gHAAQ
"@JoeTalkShow @RandPaul Dr Fauci tells the truth, statistics tell the truth, Rand Paul just rants against anything t… https://t.co/nt5TrcRq0T"
"Now that I’ve recovered from #COVID, I pray men like @RandPaul continue to hold the #NIH, #WIV, and that weasel… https://t.co/V3wrOZB3h2"
@jenrx888 @ASHPOfficial So so sad that I missed this yesterday :-) very well deserved Dr. Fauci! #ASHP21
Fauci will have your head in a cage full of titsey flies to see how you survive….or not. I don’t think they were in… https://t.co/2CKFquUD83
@BradGeyer glass shards or graphene hydroxide nano blades?  how do you accidentally get glass particles in thousand… https://t.co/llHyplWODO
Well no shit Sherlock…stop putting fear into this country and let us live our lives…you have responsibility along w… https://t.co/O0Sa4ed2jJ
"@theTyrantmustGo @LethaSunil @GovRonDeSantis No one's trying to hide that ""science."" Because it's not science and h… https://t.co/XjuRr4PGPL"
I will say it: Fauci is Dr. Joseph Megele reincarnated!!! He and the Chinese are responsible for the pandemic along… https://t.co/M9Or7ssYCy
I’m saving my mightiest slam for Anthony Fauci
@iMadgen01 @ginacarano This can’t be true Biden and Fauci said it was safe
"Miracle - Covid and the variants have cured the flu AND common cold - thank you Fauci, China, and the CDC https://t.co/KG0yeb8PdB"
"Fauci is a dr.  Dr of Death, seems intentional Death.  Depopulation in full gear https://t.co/1haOwlBAwy"
Biden Claims Fauci Might As Well Be President https://t.co/fLrcdjnJJQ
"""according to Dr. Fauci"" LOL https://t.co/fBRLdDqPU2"
@nerfherder73 They are saying he is better than Jesus because Fauci is on the screens
"Watching baking show and some pediatrician by day, baker by night talking about her life as pics flash by of some c… https://t.co/6sJ7Ibi9OS"
@TIME Sheep are funny. You say fauci without even considering those who actually created the vaccine
"@FDRLST Regardless of the reasons why he didn’t fire Fauci, that decision has become one of, if not the worst decision Trump made."
"It's the Feast of St. Nick &amp; who else do I see a reindeer, a penguin &amp; Dr. Fauci Back in the lab for holiday fun  &amp;… https://t.co/WBd7XmbHgb"
"""What we don’t quite know is how transmissible it will be, will our vaccines work, will it lead to more severe dise… https://t.co/JD9QFFiGji"
@MollyJongFast Fauci saved his life :(
@luciusringwald @jimmy_dore Catch up to what exactly? I like Jimmy in general but I wouldn’t take my medical advice… https://t.co/n0ckeTTW67
@tedcruz Ivermectin will end the disease u ppl need to quit blaming the rong ppl for raising covid there are only l… https://t.co/nRYhWTJ7Aq
@Tony19542 So having said what I said that the president has power but Fauci can only make recommendations. If you… https://t.co/SV77jjIbWZ
@Tony19542 Y’all still don’t understand this. All Fauci could do under any president he’s work for is make recommen… https://t.co/qOi4elHGcX
We are free Americans.  Act like it and ignore Biden and Fauci.
"The variant has over 50 mutations and is considered a ""variant of concern"" by the World Health Organization. https://t.co/ft7VkzqG9b"
"Omicron Coronavirus Variant Detected In About One-Third Of US States, Officials Say https://t.co/zF2wormER6"
‘How Do You Overhype That?’: Fauci Objects To Ron Johnson Claim That He Wants To Keep People Scared Of COVID https://t.co/KnZnIJUtO1
"Rand Paul Issues Blistering 12-Word Statement About Anthony Fauci, Accuses Him of Lying to Congress via… https://t.co/hl0uOTGW9q"
Fauci Angry Over Claim That He Is Just Trying To Stoke Fear Over COVID https://t.co/txKkawIDPk
Dr. Anthony Fauci said scientists need more information before drawing conclusions about omicron’s severity. https://t.co/6HcHBnsuJL
"Dr. Fauci says early reports encouraging about omicron variant, but still urges caution https://t.co/4Qqd5VCyR1"
@EndT1Diabetes @DonaldJTrumpJr @joerogan When was the last time Fauci was in a lab? There are 30yr olds with more lab time than Fauci
@DonaldJTrumpJr @joerogan I trust a drink made by Bill Cosby that I do Fauci
Fauci says early reports encouraging about omicron variant https://t.co/kWjqa8GPRR
@patriotbabz @BrandonHarrisTC @RebellionRR_1 In what way is Fauci to blame.  Without him time under Trump would hav… https://t.co/eSiae8OyvR
The T° value in place of R° value ?  Real-world evidence suggests omicron will not be very transmissible nor be mor… https://t.co/1JvdgoQh66
Fauci says early reports encouraging about omicron variant    https://t.co/epHnFVX5HW
"@KwankaNigel @TheSunV61821798 @StuyvesantAnna @Australartal @DrEliDavid ""...a letter from the NIH's Principal Deput… https://t.co/CTzfvcHgDj"
Wow! FOX News Sidelines Lara Logan After Dr. Fauci Complains About Her Nazi Doctor Comparison https://t.co/eXLwvfJvun
"He did that with AIDS, too.  And now I'm wondering about Hep C. Sen. Ron Johnson Drops a Truth Bomb - Says Many Ame… https://t.co/40OPFp7Cz7"
"@baldeagle @NigelKellow Or the unelected, like Fauci."
Man these damn people  'We all feel very badly': Fauci says America is revaluating South Africa travel ban | Daily… https://t.co/i24SiCF0EX
Dr. Anthony Fauci said scientists need more information before drawing conclusions about omicron’s severity. https://t.co/i21G1vyn2L
U.S. health officials said Sunday that while the omicron variant of the coronavirus is rapidly spreading throughout… https://t.co/ENNpgQm3vH
"Omicron had been detected in about a third of U.S. states by Sunday, including in the Northeast, the South, the Gre… https://t.co/Uslat73nVj"
@keane_phillip @InterBang @pfizer @AlbertBourla @NIHDirector @NIH @CDCDirector @US_FDA @billgatesaz @melindagates… https://t.co/qJ4zt3HdgY
@tedcruz and @SenRonJohnson who else are you going to attack so you can gas light the American public?    Dr. Fauci… https://t.co/t81lVarA15
@POTUS Mr. President please do something about the origins of this virus… this was from a chemical warfare lab fund… https://t.co/WAMZ6Ot8ml
Dr. Anthony Fauci told CNN’s “State of the Nation” scientists need more information before drawing conclusions abou… https://t.co/NAOvaNwHmj
Fauci says early reports encouraging about omicron variant https://t.co/3MTTTuUy58
