Fauci can stack up at any time. https://t.co/Vu95seiEDW
"Lee Norman, fired as Kansas health secretary, says he was 'Fauci'd' by COVID politics https://t.co/HzMInGkkzs via @CJOnline"
"@AnitaSloss @Nancy489406780 @Mana64328531 @ATNtennis @AustralianOpen Oh yeah? When vaccinated against chicken pox,… https://t.co/WIJBbqokhH"
The Fauci Family dinner? https://t.co/YEseh1DPjG
"@taypeinternat How do people get away with slandering Dr. Fauci like this? And they just can’t see how antivax, ant… https://t.co/tXBy8YWlcC"
@JesseKellyDC I find it repulsing that is common folks are mandated to get a none working vaccine(you can still spr… https://t.co/RP5IkH20qF
@joerogan Please read “The real Anthony Fauci” #1 seller on Amazon RFK jr   Lifelong Democrat.  You will understand… https://t.co/LHjJuvipjI
@Maui_Speaks I won't ever accuse you of being fauci
Rand Paul Wants Fauci Imprisoned For Crime He Didn't Commit https://t.co/bdy6mO6spe via @YouTube
#fauci literally just said that your individual rights don’t matter 🦠🙇🏼‍♂️💉🇨🇳.  The good of the communal is more im… https://t.co/CFe4pQHpLz
@EricMMatheny More than the amount force feed Remdesivir? Fauci know right?
Fauci is calling for violence. He wants to overthrow the US Constitution (which is the written charter of governmen… https://t.co/7vsJZ13iev
Profane Argument - Ep#271: That's it. It's over. Thanks Oprah. https://t.co/EM49G97Zbe Fauci Claus; Oz; Oprah; “Que… https://t.co/rzATUJWPon
@kbootses @nypost Next week fauci will say it doesn’t
"Dr. Anthony Fauci agreed it's only a matter of time before the definition of ""fully vaccinated"" changes.  https://t.co/f2Jn7MeXUe"
Fauci the fascist is at it again. https://t.co/aK7YiEI1jx
@MicahKolding @SlowZwifter @lanzuini72 @EdoajoEric We all know stuff like this can be a conflict of interest. Find… https://t.co/bCW0XHd7jc
@PaulaInCanada @monstrouswords Hopefully it’s watching Fauci speak.
@PaulaInCanada The idea that the average person is capable of making decisions for themselves is ridiculous. Most o… https://t.co/y4VjCbM77c
Origins of Covid still unknown two years later. This is ridiculous. And Fauci still intend on sending money to the… https://t.co/piu9YFvDBy
@tweettruth2me I love how these folks (Fauci included) can predict the future. 😂
REMDESIVIR  WHY IS NO ONE TALKING ABOUT IT? COVID CONTROLLED SO NO PATIENTS?  20% planet population trial terminate… https://t.co/MXEGmvZj8B
REMDESIVIR  WHY IS NO ONE TALKING ABOUT IT? COVID CONTROLLED SO NO PATIENTS?  20% planet population trial terminate… https://t.co/pAtqFvQX9D
"@TimJGraham ...but you’re okay with smearing Dr. Fauci and all the other scientists trying to save lives, ‘cause th… https://t.co/uamBrrRAUd"
@boston25 News and Fauci can’t keep up with the real time info of Twitter 😂
"@PeterMDavies80 @colorblindk1d @jonathanchait Fauci told people not to worry after it was already to late, but I se… https://t.co/Y9zXddKs4u"
What you see on Dr. Fauci — this is what people say to me: that he doesn’t represent science to them. He represents Josef Mengele.
@Bailey_1972 @AmiriKing Fauci has literally said “I am the science” multiple times.  When is the last time Fauci ha… https://t.co/N24w2SZyur
@jimcramer King Scientist Supreme Dr. Fauci said omicron is weak sauce. Believe science pal
@jimcramer King Scientist Supreme Dr. Fauci said omicron is weak sauce. Believe science pal
Fauci: Omicron Variant 'Almost Certainly' Not More Severe Than Delta https://t.co/pfUx9Q1C1I
@thetuckert @ElBaz13 @ctvottawa Yes and his name is Tony Fauci
@ctvottawa Tony Fauci 😂 I thought he wasn’t supposed to be so political https://t.co/vA7wo1ZHGC He has been wrong a… https://t.co/aXdCwXOSV3
@realRickWiles is a warped man. Calling vaccine backers “Nazis”and lying about the effectiveness of life saving vac… https://t.co/7V9BKj0uZC
@MollyMcFlii @ThisIsScrimzox @POTUS dr. fauci him self. lmao
"@MollyMcFlii @ThisIsScrimzox @POTUS ""It's too early to be able to determine the precise severity of disease but ink… https://t.co/GAe6RSbS8t"
"@andrealynn_rn Yeah, to think they could use that 💰 for helping our veterans, homeless, real science and not Fauci… https://t.co/bu9Zd0w1HS"
@markcosby2 lol fauci fixing this with man - made species funded by my tax dollars given to ccp so my social credit score = all good
@ZubyMusic  Read RFK Jr’s new book titled  “The real Anthony Fauci” It will help you understand why things have bee… https://t.co/1DDEVelsew
The real fauci https://t.co/YnBJANdD0v
Who in the hell still listens to that evil little bastard fauci??
@dhellingkc “The Science Changed”!  — Defenders of Fauci and the other PH professionals when they contradict themse… https://t.co/gV4ZgrxZBI
