@thehill The headlines get crazier and crazier.  Fauci giving Santa permission.  🤦🏻‍♂️
"Fact:  Doctor Joe Rogan has saved more lives promoting his Covid-19 cure than ""doctor"" Tony Fauci has promoting his… https://t.co/07WKPfcBfH"
"Fauci Shocks MSNBC Host, Admits Individual Rights Don't Matter Anymore |... https://t.co/9SSidW6dXr via @YouTube"
"@newsmax 2030, Dr. Fauci “you’ll be declared as fully vaccinated after getting the 100th booster shot”"
@thavenNFT @TheHashmasks Sold Dr Anthony Fauci in October at the height of clown mask craze.  It was actually sad.… https://t.co/z75am63kk6
@angrybklynmom @TheDemocrats None of the policies happen without the Corporate media and Dr. Fauci fear mongering s… https://t.co/CDfEeDYOrr
"AND NOW Fauci is saying either you get the [v] accine voluntarily, or we will FORCE you to get it. .. (as in hold y… https://t.co/drRRNcgt2i"
Fuck Fauci! This clown 🤡 failed massively. This has never been significantly deadly. NOW it is extremely less deadl… https://t.co/tYJ5eKzyNb
@NurseryAngry That’s an insult. To Fauci.
@DiChesebrough @FeministWeiner @icemanCollins @adam_antill @foote_ll I think I know what he’s up to but cannot say… https://t.co/xV0mTTgmuL
Can Fauci get anymore insane...... https://t.co/S3XZuW761g
@DBark46107258 @Trump48_62 You left our Fauci. https://t.co/Iy9Gvp8KYD
@toddstarnes How many shares of Pfizer and Moderna Fauci and Hunter Biden have
"Fauci says that amid the COVID-19 pandemic, 'we have to put the communal responsibility ahead of individual prefere… https://t.co/sXQVUOtz0H"
"People who think Dr. Fauci is another Mengele are stupid, uneducated, and basically Trump worshippers. We needn’t c… https://t.co/XfZzmnB5oi"
Fauci: Americans Should Require Holiday Guests to Prove Vaccination Status https://t.co/CT1fcBVQxF
I'll bet all my bacon that Fauci isn't vaccinated and isn't 4x boosted! (He took the blue pill) Thankfully your kid… https://t.co/w7NPdpCDey
@cnnbrk @CNN - Why aren't you reporting the science and the fact that FAUCI has a financial interest in the sales o… https://t.co/iQTiGDw72C
@FoxNews - Why aren't you reporting the science and the fact that FAUCI has a financial interest in the sales of th… https://t.co/2xQMEolgjT
"'He Wants To Deny The Reality Of What He Said, What He Did!': Ron Johnson rips vile fauci. https://t.co/NmEWSUFI4E via @YouTube"
It’s unbearable to see so many stupid idiots that walk around thinking a forced vaccine is normal. They get mad abo… https://t.co/fgDegohF6z
@ForestMommy You remember when Fauci told people they could get AIDS through casual contact like living in the same… https://t.co/g9QHtgVAQ1
