@Frankiebhoy8881 @BBCScotNine Aye he knew they work masks and practiced social distancing 😂😂😂🤡🤡🤡
@AGEricSchmitt SCREW EVERYONE…SCREW THE PARENTS…..LET’S JUST NOT WEAR MASKS! This is F’d UP!
"@auburnwarrior @TeesValleyVoice You’ll be alright just taking an LFT beforehand then, which is also accepted.   You… https://t.co/s9ryRsWx3S"
"COVID-19 LOCAL UPDATES: Kansas reports 4,443 new cases; Missouri adds 2,861 https://t.co/EGpa1LbToI"
"@TheMacMommy They STILL whine about that. I mean, c’mon, maybe they should have taught their baby dolls to wear a m… https://t.co/IRGkSyK42e"
"This is #Missouri.  This is the #Missouri @AGEricSchmitt.  He's encouraging parents to ""turn-in"" school districts t… https://t.co/KH5SieUfOu"
ok so for followers who are new in the past few weeks who havent seen me losing it over the masks game im in: sorry… https://t.co/q4uAiVPPRS
"@TheKylieMuse SAME it was the first szn i watched while it aired. so many iconic franchise moments, like the (proph… https://t.co/O7WrByGxdq"
DLKJSLJFLJDFL I just realized: I think he was earning enough Mora to get painting supplies to make his mask for the… https://t.co/PHtBc6dlPR
"@Beebo1000000 @WeThePeopleElec @officialSPS Report it to AG Eric Schmitt, he's going after Missouri schools for mas… https://t.co/eeO9os5MUb"
And this is why I still mask. Stay safe out there https://t.co/gfUe0oAu54
"@mtgreenee I know you’re trolling, but at the same time, this is also expected, since you thinkwearing masks is like the holocaust."
@kamsites @aaronstew12 @PalmerReport From what I'm seeing in my town ALL Doctors and Hospitals are REQUIRING you to… https://t.co/jPeJGaT7JS
@SurferG52737933 @NathanMackBrown Ohh I feel that!!! I live in Missouri too and hate going places because so many a… https://t.co/GYZ5yln3MM
@RayALebron 🙌🙌 cool kids wear masks!
@dstark86 I've been letting my thoughts on the necessity of wearing a mask in my house be known when I call to schedule the service
"@jwilcox79 @denisegoducks @_EarnieBanks If the article is about ""going back to normal"" why do the women in the picture have masks on?"
"Masks, vaccines, boosters, mandates @HouseDemocrats @SenateDems @WhiteHouse @POTUS @WHCOVIDResponse https://t.co/EWDJ5rZzcn"
"@_EarnieBanks @YoungFated @HarveytheHaint That's quite a broad statement there. Illinois still has a mask mandate,… https://t.co/AuY7l8rq87"
@stltoday And rightfully so! Make masks optional.
"Kudos to News Chanel 4 in St. Louis tonight to show how Attorney General Eric Schitt, I mean Schmitt, is bullying s… https://t.co/8IUSBvhb4m"
@LeeVSpotifySUX @Bew_D_ Guys you guys honestly make me so mad cuz of how much I envy your guyses styles Bc I've nev… https://t.co/bbUyx0S9Gz
@JacBuchanan_JB I’d understand if they’d held out for some % of people vaxxed &amp;/or reduced transmission rates befor… https://t.co/OySxnWlxpu
@Street5pirit @KweenJosie I actually didn't pay too much attention to the NJ race. I doubt the masks would have hel… https://t.co/bPjRAnvC5Y
"@JennyBwood They have never stayed home or followed any of the guidelines but complain the loudest about their ""fre… https://t.co/lTJRbKXqUD"
"@AGEricSchmitt Winning means more kids getting sick? You are really twisted. BTW, school boards are elected officia… https://t.co/NXxLH8FU1L"
@DanRather What I don’t get are the idiots that are in location’s without mask mandates. Alot will still wear them… https://t.co/byoy5vnWTl
@tpc5001 @JamesWebbMMA My husband tested positive for Covid last Christmas. I just assumed we’ll I’m getting it too… https://t.co/CkVMokSosA
@DawnChapmanSTL @Eric_Schmitt I don’t see where he asked for photos of kids. He’s asking for photos and videos of v… https://t.co/8NljLFGlCp
"@mabadov @BigElad Right, but the point is the mask keep sick people from giving it to others.  Has little effect on… https://t.co/zreC4s2Tkn"
@tishaura @AGEricSchmitt So you are still allowed to wear a mask?
@JacBuchanan_JB @michaelmina_lab Most vaccines stop transmission. Early sources warned that we weren’t sure if/how… https://t.co/Axnh7GOXGv
@Eric_Schmitt All his kids wear masks at school.  He wears a mask picking them up.  He is a slave to Trump and Trum… https://t.co/kVSEoMWeq2
"The first live action ninja turtle movie Casey Jones made a comment about cricket ""You gotta know what a crumpet is… https://t.co/knlhzoI8bz"
@AlmeidaGhaby @MKatiyah @kdubzz Ironically I have Covid right now and honestly it's no different then my yearly all… https://t.co/DDhR08t6BG
Springfield Public School bureaucrats are in free fall— hiding documents on #CRT now allegedly punishing kids becau… https://t.co/PBmydn4nXl
@MatiH_ID @STLCityGov It is not in effect @AGEricSchmitt sent you a  letter saying that your mask mandate is invali… https://t.co/YcB7O0ayWp
Who is Diego? Wearing a Mask When You Have Bipolar https://t.co/xGySTWrepa
watching the mask singer is amazing
"@DrSamPage How long is it going to take before you realize no one is listening to you, much less cares what your op… https://t.co/MLrLrA3EiL"
"School board voted to uphold the decision of the Missouri AG and end all Covid related restrictions (masks, quarant… https://t.co/2dKdQ4lzNg"
YES 👊👊👊 No more masks! We the parents and the students have had enough! #UNMASKOURCHILDREN #breathfree… https://t.co/IGMtYlRiYx
@lizzyfishsticks No one cared who he was until he put on the mask
@LarryInMissouri Our society will NEVER recover from this. This bell cannot be unrung. My son was completely denied… https://t.co/mxWi042Jq7
@OzarksWatcher No one is telling kids and teachers they can’t wear masks. They just can’t mandate them. Worried abo… https://t.co/DocbsaHVcK
@kcshannonlee1 Only on Twitter.  He and his kids mask up at their school.  They’re all vaccinated.  Fraud job.
@AGEricSchmitt you are sending school districts letters over the damn mask mandate. Perhaps you should be more inte… https://t.co/boRBmFTLwb
