"@Teacher_Mask @AnimationNoCont I always tought ""anime"" is supposed to be an artstyle."
@fitterhappierAJ My kid moved to Sweden from the US this year and says it’s utterly bizarre - not only does basical… https://t.co/C7i2mxpBx8
@wef the masks make sense yet? https://t.co/PrCTd7d0gD
"@megan_lynnlee I’ve never had a test. I’ve not been sick. I’ve hardly gone anywhere, where I go, I’m masked, virtua… https://t.co/puRrCoYTpM"
@maureenjohnson I'm vaxxed &amp; boosted &amp; still wear a mask everywhere. I'm going to take care of my sister for a few… https://t.co/t4WSMU2i1g
@bradbatt Looks like Joel Osteen wearing a Joel Osteen mask… 😳
@arktikaalaska You're a smart guy - please research mask pore size to covid particle https://t.co/Rb3NhXsRhn'll see that they are useless.
@2kaRask Gotta love him hitting Bergeron in the mask with his stick and then doing the head snap to try to draw a penalty.
The Mothers - Freak Out! Frank Zappa and The Mothers - Roxy and Elsewhere Miles Davis - Bitches Brew Cream - Wheels… https://t.co/roxSwp5tyt
"@RickRunGood Open Championship mask, nice touch!"
"‼️GAME CHANGE‼️ Our 1st change of the season - due to ongoing transportation issues, the SH Boys Basketball JV2 gam… https://t.co/2K0RiwMXeb"
@A_Futrell101 Can’t wait for her masks to be released
it’s time. I’ve taken off the mask.   my website has everything but a purpose - there was no story - no mission - j… https://t.co/49nzZ6G6Qa
"@HeartlandSignal Why not try all these things, like masks and vaccines? And if you want to use mouthwash, too, sure! Why not?"
@libsoftiktok @DonaldJTrumpJr So keeping a mask on a person with special needs will work? How about the social dist… https://t.co/sEGasUr0AV
@TheRickyDavila Not even a question!😊 Three Pfizer vaxxes and the mask stays on!
Turns out there's another federal mask mandate that directly conflicts with Florida law. (This applies to federally… https://t.co/dIeaGylm7L
@kylamb8 @WendyWendyfio @AGAshleyMoody I've found another federal mask mandate that directly conflicts with state l… https://t.co/toW711YYwB
"@TheOGpianoGeek @GBfanforevah Complained a my supermarket yesterday that man behind DELI COUNTER, had mask on chin.… https://t.co/KWIFz2Ss1i"
@michaelmina_lab I think the remove your mask if you are vaxed is where we lost the war.  I’m old enough to be amaz… https://t.co/wK053Gh2sv
@Jennife94286559 Good precedent. I won't see therapy clients indoors without vax proof and mask. Keeping myself and… https://t.co/EutpY3440m
"#MWRA COVID Sewage data showing post Thanksgiving gathering spike. Mask up, vaccinate and test. TY @MWRA_update for… https://t.co/BkB892t6ya"
"@mehdirhasan @DrEricDing And, at this point, a certain chunk of  “Blue voters” need to be included in this group .… https://t.co/w9qkjbHSqq"
FRANKLIN COUNTY: Greenfield will be masking up indoors come Dec. 13th. Here's what the mayor's saying.   https://t.co/K3tp8BMnYT
"Keene City Council set to vote on mask mandate, following committee approval. https://t.co/0bAQH2qWZv https://t.co/dlURaxZpJ6"
People saying people wouldn't recognize ccs if they switched their masks with another are the same people who in a… https://t.co/tw03t3ZODR
I missed why Bergeron needs to wear a full mask is it because of the injury he had to his nose the other day ?
@MissHoneydewPC @CovingtonEDU @MoniseLSeward Wow. In MA? I also teach in MA. Didn't DESE extend the mask mandate un… https://t.co/s59Jy6Vtca
"@503ANON @Manof4Truth @themerryking @BernieSanders Still, the biggest factor is behavior not vax status. Get vaxxed… https://t.co/Lq9ravZiMg"
@AlnoorShivji I now also have the problem of my glasses resting in a different position from normal with the mask o… https://t.co/DEohrs2Mh2
Kiessling Continues to Call for End to Mask Mandate; Other Health Board Members Disagree https://t.co/oIz2v7taoW vi… https://t.co/jNisKYpYy6
Chas Calenda: Attorney At Law - Episode 23: Mask Mandate Hits The Supreme Court https://t.co/MEd3ZrJl5z
I guess they haven't read this page... or maybe they think it's hoaxy? IDK some cis white man please pass them this… https://t.co/a1Qf4FGnXB
SMALL MALE TERRA COTTA HEAD FACE THAT OF A MASK HO LLOW BEHIND -BROKEN LINE OF NECK INDICATES THAT IT IS A FRAGMENT… https://t.co/RP7vkC9ElW
Letter to the Editor: Change Mask Requirement to a Recommendation https://t.co/ZNflHwAFjn via @Bedford_Citizen https://t.co/icPJEBn2Jo
Company admits it price-gouged grocery chain on N95 masks - via @WPRI12 https://t.co/kbXyzTkAJK
@votelizmiranda Doesn't Boston have an indoor mask mandate right now?
And in case they want to draft rules the House and Senate chambers can follow when they return to the Rhode Island… https://t.co/91PVuJ8neT
Please also share this WHO link with them about masks. Same reason.  https://t.co/1EqnCa7nf5
"""Intentionally incompetent"" in that it's all in service of the push to ""return to normal"" or create a ""new normal""… https://t.co/jsZCKL6Er9"
I need a white cis man to share this CDC link about masks with Mike Chippendale and Brian Newberry. They can't read… https://t.co/HPnBMyahCG
@gutbomb @jonlevyBU A year ago I had a pickup job shutting down restaurants.  Dozens.  Today I cant shop without a… https://t.co/9uhRcIFcRh
"Honestly, at this point I have to believe US public health policy experts' communication about masking and vaccinat… https://t.co/wzr2pqNGeV"
@VirpiFlyg I’m confused by the idea that people will go out while sick if they’re wearing a mask. Is there a tradit… https://t.co/1Nga34QYzZ
@bhai_turd @BethMalaga @ElizmcgoLiz @kate_freedomer @NewsatSMES @SMECAtlanta Hmmmmmm...🤔 so then you must believe t… https://t.co/SQr5FL2gGw
"@3DiMMUNE It depends on the state, some of them have mask mandatory since last year. It’s pretty difficult to compare"
"@SchmelsRu Literally. I live in Fitchburg, MA and mask mandates just disappeared months ago and tons of people are… https://t.co/Dn1QFXuhiA"
@ncscott15 @LarryHerndon18 Humans are semi-evolved simians and do not behave rationally. If the practice had a sign… https://t.co/xh93Eb2Ilz
@AlannaBennett Black out eye mask
@IAmJamesStewart *promptly gets 7th Covid “booster” and wears mask religiously *
"Wither its your first vaccine or a booster every vaccine helps save lives. Please wear a mask and get vaccinated, e… https://t.co/9VeBqvXGFw"
@TheRickyDavila Got my Moderna booster on 11/28. I still wear a mask &amp; will continue to do so. I'm not a Maskhole.… https://t.co/cr8pEx9HGs
@mikeroche @GovChrisSununu All due to @JoeBiden   What does that have to do with a mask mandate?  @GovChrisSununu i… https://t.co/TlLo7OvcLj
"""I like the way this mask smells it's a very lovely floral, without smelling perfumey. Afternoon flower Garden face… https://t.co/s202Cm4Awq"
@GovChrisSununu A mask mandate so people will feel safe again esp with COVID rising again?  What can you do about p… https://t.co/wVZQFjT8Ms
"We should have a nationwide mask mandate, indoors and outdoors -- it's airborne, it lingers, I wouldn't trust ""wind… https://t.co/cdr2FbNRcc"
@RiverTamYDN @Sharon_Kuruvila why? masks are such a powerful mitigation. seems like the wrong time to be giving up… https://t.co/AfxDNdKTUd
