@Levious_Dick @IGNWorseThan How one goes from Road Trip to Mask no God can tell you
"@WattleOfBits That's daft. Our local hospital have been more  sensible, they'll get you to put a blue mask on if yo… https://t.co/YkYvojZm9a"
Wearing a mask while walking is great cuz the cars can't see u talking to yourself
@bradbatt Looks like Joel Osteen wearing a Joel Osteen mask… 😳
@TheRickyDavila Not even a question!😊 Three Pfizer vaxxes and the mask stays on!
"@Zthomp15 @Quinnlos @jewtalianfalcon This image literally shows physical evidence of masks doing their job, so yes,… https://t.co/CXHHjmZU1k"
"@503ANON @Manof4Truth @themerryking @BernieSanders Still, the biggest factor is behavior not vax status. Get vaxxed… https://t.co/Lq9ravZiMg"
@KFILE The Nancy Pelosi doll needs to pull her mask up 😜
Chas Calenda: Attorney At Law - Episode 23: Mask Mandate Hits The Supreme Court https://t.co/MEd3ZrJl5z
I guess they haven't read this page... or maybe they think it's hoaxy? IDK some cis white man please pass them this… https://t.co/a1Qf4FGnXB
Company admits it price-gouged grocery chain on N95 masks - via @WPRI12 https://t.co/kbXyzTkAJK
And in case they want to draft rules the House and Senate chambers can follow when they return to the Rhode Island… https://t.co/91PVuJ8neT
Please also share this WHO link with them about masks. Same reason.  https://t.co/1EqnCa7nf5
I need a white cis man to share this CDC link about masks with Mike Chippendale and Brian Newberry. They can't read… https://t.co/HPnBMyahCG
"Laramie parents push back against school mask mandate, books https://t.co/tt3BdBlFI0"
@AshleyRParker I’m fully vaxxed and boostered but I mask up anyway. I was behind an unmasked guy at CVS who asked w… https://t.co/nYsmDIEaFJ
"@gawd33 @mask_bastard not only this, but government technology is always at least 10 years ahead of anything consumers get to see."
"@mehdirhasan Exactly. If want people to report back to in-person work and be comfortable in said settings, get VAX.… https://t.co/U6HQRmnFRb"
"@charliekirk11 More, easily. More places are open and less places require masks"
"me, after watching dune for the second time, walking down the street with my hood up and two masks on since the air… https://t.co/ux8Aq9YAJd"
@megynkelly Masks do NOT cause breakouts! SHEESH!! Vanity isn't worth being unprotected!😷
"New statement from @GovDanMcKee as COVID cases, hospitalizations rise in RI  ""If we don’t take these next 6 weeks s… https://t.co/3ZjTf5EMBb"
".@GovDanMcKee: ""If we don't take these next six weeks seriously, we risk all the progress that we've made together.… https://t.co/zlb94aAb4Y"
.@GovDanMcKee continues to encourage people to get vaccinated and get a booster shot.   As COVID-19 cases rise in R… https://t.co/6i9lNMiet5
INBOX: Gov. McKee says increasing COVID cases may prompt reinstatement of an indoor mask mandate. 1/2 #WPRO https://t.co/GaESfgR3xS
@GovDanMcKee Please for the love of God would you issue an indoor mask mandate? https://t.co/Xr2v0pY6Sn
"Do you still have folks to shop for on your Christmas list? With each purchase, you’re also benefiting our work. An… https://t.co/tXZ5VJuoxa"
@NotTurtles Funny story so when they first showed him in a the event when he opened the door I was like “it’s the r… https://t.co/Zo1DL6KG1m
Just got my booster. I feel safe to not wear my mask now for the foreseeable future. 😌🙋‍♂️
"@uche_blackstock Yikes… May you be shielded from all the forces of fascism.  Also, as the grandkid of a Jewish MD w… https://t.co/JNpYuwGLsq"
People who argue that masks inhibit personal freedom by taking away one’s right to clean air confuse me. That “righ… https://t.co/lgU2GcGWut
@GovKathyHochul Mask mandates and social distancing.
I feel better knowing that my COVID test results were negative but my service manager hasn’t gotten his back yet an… https://t.co/MbUh8pEaWQ
@nathaliejacoby1 Been wearing a mask since 2018 with cancer d/x and compromised immune system.
"About all the unvaccinated people I know have gotten COVID. Me, vaxxed later in 2021 but followed all cdc guideline… https://t.co/1lw8mPzkXu"
@SadieHartmann I had those masks!
"Thanks to high vaccination rates and few covid cases, Hopkinton, Massachusetts has extended its mask-optional polic… https://t.co/ktu6yOjW3Y"
"This evening at 7:00, Dr. Michael Fine will read from his collection of short stories. Please wear a mask and a rap… https://t.co/exjQ8zOZQw"
@darrengrimes_ How many commenter on here wear a mask? Just interested.
"3 doses and wwar 6 masks....these people are makin fools outta everyone!!!  ""Pfizer says new study shows that three… https://t.co/AYWPuXEvMX"
I’d rather wear a mask. WTF 🙄 https://t.co/O7GVB1rSYc
@WalshFreedom This main issue isn't the individual nazi admiring Representatives it's the thousands and thousands i… https://t.co/WuMmeAdCRs
to everyone i sent masks to early in the pandemic…… i am so sorry. i got way better at making that shit i promise
"omg @RIPTA_RI, what is that brown stuff that smells like the Johnston Landfill? You have passengers wearing masks a… https://t.co/23RPv7S9Np"
Winter Athletics Parent Meeting is tonight in the Learning Commons at 6 pm. Team specific meetings will follow afte… https://t.co/QwW6YTb8NV
@mgags77 @PurpleMarty49 @billybobbrubake @MoniqAR @TaraGranahan @wpro You know what was a crisis for mental health?… https://t.co/9n7r1GMG94
@andrewbostom @BrianCNewberry Couldn’t agree with @BrianCNewberry more.  People have lost their minds. The left has… https://t.co/oA0b7tKaaZ
"@mgags77 @PurpleMarty49 @billybobbrubake @MoniqAR @TaraGranahan @wpro More science... not the amygdala!  ""...there… https://t.co/lNwSYRmtsD"
@PurpleMarty49 @mgags77 @billybobbrubake @MoniqAR @TaraGranahan @wpro https://t.co/smmyPx0iPD Wearing a mask will h… https://t.co/M9uYOpP1EL
Kids should never have been asked to make these sacrifices.  We should have protected them.  We should have kept th… https://t.co/1k4y8LmPjQ
"@PurpleMarty49 @mgags77 @billybobbrubake @MoniqAR @TaraGranahan @wpro Another Mayo Clinic ""doctor"" hysterically rec… https://t.co/6edRcu8xnw"
@RussLCon @mgags77 @billybobbrubake @MoniqAR @TaraGranahan @wpro Did you actually read any if this? In conjunction… https://t.co/KDvORVxgDz
@_SkyysThaLimit Still tryna figure out why these children keep not having their mask over their nose inside the sch… https://t.co/XHZ2oiYKVp
@mgags77 @PurpleMarty49 @billybobbrubake @MoniqAR @TaraGranahan @wpro I was just hysterically reading the Mayo clin… https://t.co/xLTsmJElKn
@MizWithers @TCfounders Mask up. Stay safe.
"@jacobnsbrier @DawsonHodgson Right, like when he originally said don’t wear masks."
"@jwupun25 It worked. No one who has used the elixir got sick, no mask, no jab."
@DanMcGowan Limited data and “more research needed” so let’s make masks mandatory on kids.  Seems like a winning st… https://t.co/KIWVXHf5pT
"@DawsonHodgson Ok, so I gave an instance of why someone would object to taking a vaccine. Doesn’t mean I am antivax… https://t.co/nSx1VRD8GM"
CDC on masks. https://t.co/UI0l2hLxBz
"@DawsonHodgson Right, masks are sooo social. They are doing wonders for early development of infants and toddlers w… https://t.co/MLp5Ll1zkP"
@ShaunCurry @TedNesi Me too. 3x Moderna and I just upgraded from paper masks to KN95s for public settings.  The num… https://t.co/FVEXzFSqNL
"@bdm925 @KingJames That's because most have been vaccinated you fucking genius! If not, then not wearing a mask wou… https://t.co/6a3mY3TP1w"
"@billybobbrubake @MoniqAR @TaraGranahan @wpro To prevent droplets from entering the wound/incision, not to prevent… https://t.co/GOOe5JBQqe"
"@derivanator @EricTopol Have to check. Funny how astoundingly consistent this new seasonal Covid flu is. But, eithe… https://t.co/G1FHaM81K7"
"@PostOpinions @MaxBoot It’s not a democracy. It’s an average oligarchy with hints of better yet, a full injection o… https://t.co/vBqDlkqHFF"
"@laurieinri Not okay.  The mask wearing is damaging and borders on abuse.  These kids suffer, it’s nothing to smile about."
Or you could advocate to lose that mask ... and then the kids could benefit from your smile.  This mask mandate is… https://t.co/vlfDQZXte8
@MikeWChip @LaurenRI40DSC THAT IS FROM MARCH 2020. For the love of Rhode Island PLEASE read current articles. The C… https://t.co/azuDQE8JP2
@SilentTrees did she know she had a phish mask?
@weissbierpanzer @beeonroids @stevek3384 @namebunchofnos @SleveMcDichal @Noellenarwhal @BigG17507257 @23cmnails… https://t.co/gPQ6c0SDHc
@unclebill1985 @3nigmatic_01 @Nichol_DeCastra @weissbierpanzer @beeonroids @stevek3384 @namebunchofnos… https://t.co/n0McvsP5i2
Me in the blue mask behind the ref throwing my hands up in disgust after the ref blocks my whole shot. https://t.co/pzhLpWlKGr
"…and send every household a mask, an air purifier, and give paid time off for vaccine. https://t.co/wYMhR0jZQ4"
"Yes, Rhode Island needs another mask mandate https://t.co/73bntlx8Y8 via @BostonGlobe"
"Gimp mask, it must mean it's City Hunter playing https://t.co/WV2xvLEUW6"
@RockyHillCD 2021 BASKETBALL GAME SPECTATOR STATEMENT:  . * All spectators MUST wear masks at all times. * All stud… https://t.co/OmRKbO2mRQ
@ASalzil02 @wpro Yes - @DanMcGowan @Globe_RI column https://t.co/5On6AJUwav
@GarzaSusa @thsuburbanmommy Masking children teaches children to wear masks.
Hi #MBTA have you thought about setting aside specific train cars for people who refuse to mask properly?
Very hard to go anywhere with vaccine card checks and mask mandates. Total violation
"No wifi, no cell signal, no replays, no running stats, no beers at seats, mandatory masks, no Rob.  It’s a sad day for me."
@79hfg3n3948rhf0 The mask of light set was sooooo fire
"@LaurenRI40DSC Here's your ""science""...  ""There's no reason for anyone to be walking around with a mask on..."" -Dr.… https://t.co/DepvCq0ViC"
@POTUS Send us masks &amp; tests too @POTUS
"https://t.co/WYmD2txEil  It's called SCIENCE!  No one likes wearing masks. But, when with a bunch of people who you… https://t.co/NPi1gZoeac"
@richluchette @bamaral44 @DanMcGowan He suggested indoor masks. You’re safe.
I’m all for taking precaution but why are some folks wearing their mask in they own car?
@ladystardust31 Strange he is wearing a mask when outside but he didn't wear a mask around sick people when visitin… https://t.co/GzLSavQl3p
Hi! Someone took a pic of me as 'Baby' at #germancomiccon on Saturday - if you have it please can you send it to me… https://t.co/2tSuJZwb3s
"@apoorva_nyc @emirates Oh, so now you’re the mask Police. Mind your own business!"
@MechEngnr @BrianCNewberry Like masks? Explain Florida numbers please.
@stevek3384 @FabulousAbbey @vjayebroder @BigG17507257 @beeonroids @weissbierpanzer @namebunchofnos @SleveMcDichal… https://t.co/ufp2dd3U3N
@nlk_mph sending hugs your way and hoping we get you better protection (in addition to high-quality masks) soon.
".@GovDanMcKee - at the very least, it is your job to instate a mask mandate. Your lack of leadership is clogging up… https://t.co/iy7QAiJnC7"
"Masks only do one thing in a public setting - make people feel good, but are otherwise useless and in fact harmful.… https://t.co/tSO2VkEUju"
@EricRueb @DanMcGowan Why is the Boston Globe writing this F masks.
@ericcovino @MThibodeauPVD @DanMcGowan The point of public health initiatives is to protect the public’s health. Ma… https://t.co/SLC8GcjUtc
"@TedNesi Another reason I continue to wear a mask when in public spaces, even though I'm Moderna 3X."
@ericcovino @MThibodeauPVD @DanMcGowan Plastic barriers did nothing because they weren’t floor to ceiling. If air c… https://t.co/eyOjbl9K7o
"I just hit a lick wit a mask, MF Doom"
"@jim38755065 Particles can linger in the air, and with all the talk about mask mandates returning, this is just one… https://t.co/ikI9TK6fnG"
"Whereas opioids only mask the sensation of pain, physical therapists treat pain through hands-on care, patient educ… https://t.co/3GoXWG0Kck"
Every single household should have rapid COVID tests and high quality masks sent directly to their door. https://t.co/Ffi3SFIbUa
@nlk_mph We can all mask (in addition to other strategies) if we have medically vulnerable individuals at our gathe… https://t.co/ESbNdKzn5c
@Elfskin7 @MrsWinstonSmit1 @Noellenarwhal @deeppisslore @bleakachu_ @stevek3384 @BigG17507257 @beeonroids… https://t.co/cTkpGYV7bb
"""On Monday, six hospitals were at 100 percent occupancy (based on staff levels) for ICU beds, according to data fro… https://t.co/8ZmEkarDz7"
"@nlk_mph Not at all. But it would be irresponsible of me to not acknowledge that vaccines don’t work for all, and d… https://t.co/qPX6BMfpJ6"
Indoor masks a good idea at this moment.. just sayin #COVID19 #OmicronVariant #COVIDisAirborne # https://t.co/7MUhVZHRVa
"Join us at William Hall Branch for winter-themed salt painting with Martha in this program for families. Wednesday,… https://t.co/AKQAJ7dlvm"
"@GovDanMcKee, it’s time for an indoor mask mandate. It’s been time. Lives are at stake. https://t.co/JcNOLUMDTB"
@Elfskin7 @MrsWinstonSmit1 @Noellenarwhal @deeppisslore @bleakachu_ @stevek3384 @BigG17507257 @beeonroids… https://t.co/zOlrazxFdP
@stevek3384 @deeppisslore @MrsWinstonSmit1 @bleakachu_ @Noellenarwhal @BigG17507257 @beeonroids @weissbierpanzer… https://t.co/2TCpyhTFBu
“…a mask mandate would not be the kind of loss of face for McKee that the Rams or King George III took on Saturday.… https://t.co/PiIfuvH29G
@thatdavidtraub @stevek3384 @bleakachu_ @BigG17507257 @beeonroids @weissbierpanzer @namebunchofnos @SleveMcDichal… https://t.co/qGY9BheMb0
@weissbierpanzer @GhoulishMacabre @bleakachu_ @MrsWinstonSmit1 @Noellenarwhal @deeppisslore @stevek3384… https://t.co/H5ytYUmmv3
@weissbierpanzer @deeppisslore @GhoulishMacabre @MrsWinstonSmit1 @Noellenarwhal @bleakachu_ @stevek3384… https://t.co/12PPfTzEpS
@weissbierpanzer @GhoulishMacabre @MrsWinstonSmit1 @Noellenarwhal @deeppisslore @bleakachu_ @stevek3384… https://t.co/CDSrBQJaD0
"@Dannyoconnor430 @VintageMrHobbes @snj_1970 @TAH_Sci Agree Danny, I think pushing a be courteous/respect message to… https://t.co/nZC7DHVMIs"
