@jenga_ca Trump totally respected Putin's interests - and still does.
@OleGelo5 I think you've got that backwards  .remember when trump went to China? On the way back he whined about no… https://t.co/QAHeBE20H2
"@CorvinChristian @td1476 @Anna53678359 @AOC A trump supporter, someone who's bought the Big Lie  Used to be a repub… https://t.co/TzRaIMIfoS"
#TurnTREEintoAnAcronym Trump Ruins Everyone's Ethnicity https://t.co/R1ZUJHElgj
@paulguynj @JWBallz @LucianArgues @Judson4Congress WRONG. The judge tossed it. The same judge that ruled the victim… https://t.co/nxQufAsEqK
@Tripucka17 @CorvinChristian @Anna53678359 @AOC You're making me want one to stop fascist trump supporters
@MeghanMcCain   Wow wow wow the emails Mark Meadows handed over are FULL of totally incriminating material on Trump… https://t.co/E3I7M21gMl
@FoxNews Was Trump involved ?
"@CathyGraphics3 @DaveBedore1 Maybe if he practiced what he preached things would be a bit different. But no, Trump'… https://t.co/kh0Sg3zYWd"
"C'mon #Trump, kill the #BigMediaTech #censorship #circlejerk, who if not you? https://t.co/pxsmyvpF4a"
"@BraddrofliT Republicans huh?  So sorry, they been clenching for Trump far too long."
@hugolowell Trump strategy.
"@MayoIsSpicyy @January6thCmte Directly from the trump playbook... when in doubt, throw paper"
"@Emsrsue Ayup, a Trump University School of Law graduate."
@joncoopertweets Trump and most of the Republicans today.
Revealed: The Secret Money Trail Behind Kevin McCarthy’s MAGA Makeover https://t.co/blvAflxTFB via @RollingStone
"@MikoolR @ukiswitheu But would it stop you from voting a Conservative candidate?  Don't worry, I can answer it for… https://t.co/bWHCbe7Dav"
@FoxNews  No way are we to believe that Bannon or Meadows or whomever had sexual love for Trump. It may have looked… https://t.co/JlVkEnuQCt
"@J_lem21 @SenMastriano I do not like Hunter Biden and the Clinton Foundation selling access to our top leaders, I d… https://t.co/I7chdlDU7D"
@hduverge It's the same recession that trump's #taxscam was supposed to lift us out of https://t.co/GGs7BvUkCf
"@J_lem21 @SenMastriano I voted for the Trump because I do not like paying high taxes, I do not like paying for infi… https://t.co/MdDBeYd8fh"
"@Melissa42221382 @derrenbutler161 There's the thing, you can see everyone of his tax returns and none of trump's https://t.co/NkqYTdVLy1"
