Matt Gaetz Thinks Emperor Trump Will Make Him Powerful https://t.co/soul4IFTiC via @YouTube
"Trump allies aim to quagmire all legal proceedings that could expose Trump, a stall tactic to run out the clock whe… https://t.co/agkXV0sDAT"
Trump's Phone Records SEIZED and he is TERRIFIED https://t.co/OfDv1fKd1w via @YouTube
"@gohogsgirl Ironic on a post about tolerance that you mention being willfully intolerant. Also, you’re wrong. Lifel… https://t.co/rxnzfdIhin"
Trump SOBBING as Investors DITCH his Company https://t.co/vpYNw0gUja via @YouTube
@RepRosendale The national debt has rose by almost $7.8 trillion during Trump’s time in office. That’s nearly twice… https://t.co/CvFmAnGR4b
"Here is my President Trump U.S. Capitol Rally report January 6, 2021. To watch this video, click on the following Y… https://t.co/IcsIF4LLGt"
@JosephRReagan @thetroybarnes1 Lol you wrote this the day after Amazon crashed half the internet and didn't deliver… https://t.co/Q6HIXy4MKS
@JaniceMcGeachin Trump Lost. Deal with it‼️ https://t.co/Ziq3WF6lSj
@constit14834912 @Mattallica17 @abdominusrex @NealRey50128337 @DangerousRyles @DevinNunesMulet @sherrylynnww1… https://t.co/yQB5ucvjDb
@Oteachjohn Trump got 3 and destroyed the court. I’m not sure we’re competing on a level playing field here. I agre… https://t.co/GYzfIJTcOW
Don't Get Excited About Regulators Probing Trump's Social Media Company https://t.co/8ZhmF7y53a via @YouTube
Russian State TV Drops Deranged Love Letter to Its Darling ‘Trumpushka’ https://t.co/bdyfmCJfcD via @thedailybeast https://t.co/GJOcfUec9R
"@ktumulty @NormOrnstein The presidency used to be perceived as a lot of work too, then Trump showed everyone the sl… https://t.co/xtcRajbIGx"
@H_MitchellPhoto The media company being investigated by the SEC? https://t.co/FPPo4YxMtx
Republicans Want to Make Trump Speaker of the House if They Win in 2022:... https://t.co/TxW7hnQocY via @YouTube
Conservatives are indeed just not good people. Why would I want to be chums with folks who call themselves Christia… https://t.co/du68Izk8fj
"@6B1222T @GovGianforte @JoeBiden Sadly, that is not true at all.  https://t.co/wXjSibMQWE"
@heatherpayne888 That's because Pfizer sucks! Moderna is a far better product. People also need to remember there i… https://t.co/JJub6OPPYz
BREAKING: Top Pence Aide Could Bring Down Trump https://t.co/cZqav6bOpS via @YouTube
@RepLizCheney I certainly couldn't have continued to exist without the help that has come to me through these progr… https://t.co/uxPg5ppsBH
"@Zachary38090591 The case against Trump you mentioned is part of a much larger conspiracy, and will be handled in t… https://t.co/YgNC4Jli6y"
"@Eric_Schmitt @JoeBiden You know he visited Florida, Idaho, Ohio, Texas, Louisiana, North Carolina, and Oklahoma be… https://t.co/rGPNABoXZH"
@RonFilipkowski Trump attacks GOPers all the time
Here's the thing: if you don't live in a blue bubble you don't have a choice with much of this (exception for datin… https://t.co/0X5tOXdnrU
"Yes, a former president could become speaker of the House. Here's how https://t.co/M4ozLlMswR via @WUSA9"
@MollyJongFast They won’t ever get any shots cause they hate democrats that much. They will only get the shots if t… https://t.co/SfBRKOERsc
"@nathaliejacoby1 If karma was real, Donald Trump would no longer exist."
So weird voted for Trump Now dead or dying Color me shocked https://t.co/KFqdVKq61M
Russian State TV Drops Deranged Love Letter to Its Darling ‘Trumpushka’ https://t.co/wzYlvSzcYO
@NickKnudsenUS @Themftruth3 Most don't go after Catholics these days. They need them for their anti-abortion stance… https://t.co/SJgJqOCRA7
"@therealPopeyS @thehill I'm not talking about 2020. Again, for the 2nd time, I am not making year-to-year compariso… https://t.co/MYliVIf4MF"
"@SenatorRisch After your lazy acceptance of everything Trump did you don't get to complain anymore. You are simply a ""yes man"" for the GQP."
I got a text inviting me to tRump’s social media platform. I took great pleasure in telling them to fuqq all the way off.
"I had a thought. How many of Trump’s crooked guys, stuck in AG Merrick Garland’s pipeline, are planning to take the… https://t.co/a8cLDYiSeP"
@JavierGoya7 Now we know why the Democrats hated Trump so much! He was trying to distance us from our dependency up… https://t.co/xiQuslCwnz
US sends first migrants to Mexico in reboot of Trump-era policy #NewsBreak  https://t.co/i40A030COz
"@GOP the 500,000 that died of COVID while trump was pres deserved better"
@DirkHolsomback @MichizzleM I'm proud to support President Trump! https://t.co/MIZDrpJUJt
Trump Calls Montana Politician Who Attacked a Reporter ‘My Kind of Guy’ (Video) https://t.co/t6AbRMsZhl
@OMAHAGEMGIRL Fox News is. Twice as many people die from COVID in counties that voted for Trump than counties that… https://t.co/4YUNxOlv6L
Nothing will happen to him. They get away with everything. Meh.  https://t.co/fXkLCzxb1A
Would you go on a date with someone who voted for Trump
@NurseryAngry Are you implying that D. Trump actually won but there was cheating that he has not yet proven? Seriou… https://t.co/BOVVNwJKfp
@thefactualprep Imagine if Trump read his 202 victory speech
@JonLemire Big attempt to get back into Trump’s good graces.
They won't listen to him because he's like Trump. He knows what he's talking about. They don't like that. https://t.co/drHDkZ1b5x
@lastpositivist This is Trump like denial.
@harrisonjaime @HillaryClinton She handed it to trump because she’s so unpalatable outside of New York
"@thehill No worries, Trump is not running in 2024. He will keep that a secret as long as possible. It's all about the PAC donations."
"@groopaloop @JoeBiden In the works is classic political BS, hell Trump claimed health care was ""in the works"" his e… https://t.co/wAajuNEjqE"
@BernieSanders You had a chance when Trump wanted the same thing and you would not support it.  Because you only do… https://t.co/vvhx4YEllj
"EXCLUSIVE: Former Trump Lawyer Michael Cohen On NFTs, New Book And More https://t.co/q9880bjYCc"
@MMichaelNY Trump
Pelosi Says She’ll ‘Never Forgive’ Trump For ‘His Lackeys and His Bullies’ He Sent to the Capitol on Jan. 6: ‘You C… https://t.co/jcHdtJBKFx
@jessay @AEcho13 @RedRoseReport @OaktownCogPsy @puppet_news @SusanSarandon Even if it were true that Bernie suffere… https://t.co/WBNZBWzpXY
Trump-backed candidate getting panned by her fellow conservatives after unveiling her first big policy proposal https://t.co/2m58hcRcTu
"Donald Trump's Former Chief Of Staff Told A Member Of Congress He ""Loved"" A Plan To Undermine The Election Days Bef… https://t.co/WkOBsAvelu"
"@NaturalHeretic @BeingBranKOd @guardian Like that ""list"" some dems were talking about putting all Trump supporters on."
There's a reason the old guard lost down ticket when Progressives stepped up and voted down Trump.   They didn't re… https://t.co/q6fQRkexTJ
"Nobody could have predicted the January 6th Insurrection, Speaker Pelosi? Okay, then. Trump was right. It's not der… https://t.co/z5wtMFbTp5"
Wyoming lawmakers have again decided against major election changes supported by former President Donald Trump.  https://t.co/aZRbuCbPAj
"@angrybklynmom @TheDemocrats I think Trump gets too much blame for the pandemic, but he certainly deserves some. If… https://t.co/P2px1PQQIn"
"@seadogger0 @TeamPelosi There aren't many good Republicans left, if they all let Trump be the standard-bearer for t… https://t.co/PplBPsMPba"
@thomaskaine5 @BusinessInsider I strongly believe he and others want a solid case in order to prosecute trump! He h… https://t.co/fkRxVmZQO5
New Analysis Shows #Trump Tax Cuts Helped Middle Class More Than Rich  https://t.co/4yNgaALLji
"@What46HasDone They want their own Trump. Or maybe more accurately, their own Abbott or deSantis in the WH."
"@hashallthehash @clmuseum @Timcast He's a major supporter of obama, kinda trump and bien?"
"@dave_dekker @QuancyClayborne I can't respect someone who supports Trump &amp; his ilk, but I can be polite if they're quiet about it"
@SenatorRisch Maybe if employees were given a bootstrap in earnings increases instead of the large corps hoarding t… https://t.co/FFCEDG7rp3
@thehill @RepMattGaetz Isn't it funny that Rep. Gaetz acknowledges the need for real oversight and the use of subpo… https://t.co/5HCo9lAAJi
@JakeSherman Dems have so few accomplishments that @Sen_JoeManchin’s trying to claim credit for policies passed und… https://t.co/G4xTFwlmLA
Populists continually fail to see their enemy within their own party. LOL You are on dope if you think Trump will be Speaker. #facts
@KerriLevine19 @Blanchard4Gov @RSBNetwork Funny! I do like Trump but funny is always a smile and laugh🤣
"@therealPopeyS @thehill Sure, but with all factors I listed, it's pointless.  it is well known that   in any time p… https://t.co/BIpBrVSfoY"
"@SpeakerPelosi  Hey Nancy, maybe if you didn't advertise the people that are going to come in and talk to the Jan 6… https://t.co/3b0MhoIrgP"
"@joec522 After Trump dies anyway. Though I'm starting to see the shift in Democrats now, mostly couched in language about wages."
Roger Stone becomes the latest Trump insider to plead the Fifth https://t.co/0INhQaTCEh
Mark Meadows bows down to Trump after book blowup https://t.co/9RJqfm7IIU
Mike Lindell's nightmare: Conservative group finds Trump did better than expected in counties with Dominion machines https://t.co/GNtXGavnRV
Trump Continues to Glorify the January 6 Insurrection https://t.co/ejZJmFmlGk
"Perilous Pennsylvania, Trump's non-strategy takes another hit https://t.co/lWgmIYdVxD"
@CongressmanRaja @TheEliasRework Christmas is about Jesus and we all know Jesus was a big believer in the 2nd amend… https://t.co/GKWUCRoRro
Trump Hit with CRUSHING Legal DEFEAT https://t.co/OlO5ju347e via @YouTube
Trump’s media company is a 'black bag job' that will function 'more like a laundromat' https://t.co/zGRM5yjZi4
Here’s how Mitch McConnell outsmarted Trump — even though it created a major rift in the GOP https://t.co/sUCA0cmE1Q
@Durward_ @echereeIRL @tedcruz Why was it more secure under Trump?
"@lindyli @thomaskaine5 Trump is apparently above the law. Hasn't been prosecuted for crimes, including treason, yet… https://t.co/GJnsOy4v3P"
"The Cybersecurity 202: Trump took the nation in the wrong direction on cybersecurity, experts say - The Washington… https://t.co/5QfinGE3OA"
@maggieNYT “Trump might have considered” has never happened.
@SteveDaines @JoeBiden Remember when you didn't criticize TFG for this statement?  https://t.co/u8p1zUEvzY
@MeghanMcCain You compared someone burning down a Christmas tree to people who attempted a violent overthrow of the… https://t.co/HX82GbH58J
Mark Meadows Says God Forced Him To Work For Trump https://t.co/PtCaK7TNZN via @YouTube
@45rapeKatiejohn @MacFearghus Adam Schiff needs to design a test people have to pass in order to run for ANY office… https://t.co/D8oUUi0wdz
"@joncoopertweets It’s already too late for that. And I hate to be that person, but not everything planned for the o… https://t.co/2HGZwZTd12"
I liked the accomplishments of Trump. But his boneheaded meddling into state politics is wrecking much of the momen… https://t.co/lNbG0hsBVB
😆 People are laughing at Trump’s new company https://t.co/d6jVDqI1J1 via @Yahoo
@DonaldJTrumpJr @HagemanforWY Someone should tell Wyoming that Trump isn't president and their representative works… https://t.co/VtKvagRTY2
