@BarackObama @DocLinda429 Dole endorsed Trump.
Remember how @HillaryClinton will never be the leader of the free world?  This childish post means nothing. Donald… https://t.co/Y9gEwHujzN
I really hope so... it would expose Trump for the biggly  loser he is ! https://t.co/bUu6O4koy2
"Trump's UK visit? Sorry I haven't been paying attention, I was really busy making this delicious chive, pecan and b… https://t.co/FcQRGAuhpJ"
And the rest of the world will be angry if you do.  I found this on NewsBreak – the #1 local news app used by 45+ m… https://t.co/yw15XcNIcl
Move over Kevin McCarthy. Gaetz wants Trump to be Speaker of the House.
"@jilevin Trump is giving @DevinNunes the use of a car, and an apartment in lieu of a salary... #TaxFree"
Former Trump White House chief of staff Mark Meadows sued the House committee investigating the Jan. 6 Capitol insu… https://t.co/TDQiLwlJif
Utah Lt. Gov. calls election integrity claims 'destructive' | AP News https://t.co/z0ZF45Swff
Twitter is littered with people who don't understand that #Trump never had the brains or coherence to be an effecti… https://t.co/GQjnyiiLmY
"RUNNING FOR OFFICE - After former President Donald Trump lost the 2020 election, QAnon followers hatched a new plan… https://t.co/PsBTLx10Hd"
"@TheCovidKid3 @FoxNews You do realize murders went up 30% under law and order trump, don't you? Joe Biden's covid r… https://t.co/tBfjEuOqdi"
@DDashey @JoeMamaRP @FoxNews We don't care that you have an irrational fear of immigrants. It's xenophobic. Who do… https://t.co/NsPaKpz582
@DeidreHenderson It’s likely the worst thing Trump did.
@JackCullins @TrenchantTroll @blexasmove @POTUS It was better because it was residual from Obama and Biden. Trump d… https://t.co/hSSf6PleOg
"@JoeMamaRP @DDashey @FoxNews During Jesus birth month, let's remember, if Jesus was born on our border under trump,… https://t.co/67Q2m3jaMx"
Trump's Deep State special counsel could see key indictment derailed after new evidence undermines claims https://t.co/sxuvFHDT5f
"China's playing a post modernist move here with their ""there's no fixed model of democracy.""  It's a move Russia's… https://t.co/VHbWBstcPF"
@Heavy_On_The_K @texasbreathen @TeaPainUSA He literally did. How embarrassing for Trump that hes a worse choice
