"“If you are innocent, why are you taking the 5th ?” - Trump https://t.co/gCzi4npl9I"
@covie_93 @GOP will endorse candidates willing to defy The Constitution and undermine America’s Democracy just beca… https://t.co/vnftAW15nG
Trump &amp; his @GOP cronies using the same tactics as in the Watergate Coverup:  👉🏽 say that nobody in the White House… https://t.co/aCUlXR6Ojo
@TimRunsHisMouth The irony!  Pretending there was no collusion with Russia and the Trump administration isn't just… https://t.co/f1JJezwjUC
"If the GOP and Donald and his brainwashed followers don't want to live in a democracy they can bow down,and suck Do… https://t.co/NtUucpqJ9x"
@FlytrapActual @turbotoast2 @USConst_Amend_I What about these images? Some of the same stuff here...… https://t.co/1z5CEnv7AI
why are biden democrats so proud to be white moderates when george wallace was president only a year ago  mlk liter… https://t.co/ISJwkofaHu
@NikkiMcR trump was feminized? do these idiots listen to what's coming out of the holes in their faces?
SO YOU THINK TRUMP IS A FASCIST https://t.co/iSoyPIg7Mf via @YouTube
"Donald Trump's Former Chief Of Staff/POS Told A Member Of Congress He ""Loved"" A Plan To Undermine The Election Days… https://t.co/e3DB8v42J8"
"@TuckerCarlson The U. S. has been invaded by the Russians. Since 2016,TFG and enablers from Congress w/o militia. I… https://t.co/lYSG74EOVf"
Must read:  https://t.co/uncBg6cnCb
"@ChrisMurphyCT Why not just do ""acting"" positions and skip that whole dog and pony show? They seemed to let Trump d… https://t.co/6V1wbWdh0h"
@KOINNews Will never happen.  Looking forward to republicans taking back control of House and Senate next year and… https://t.co/DSeWxeCjK8
@MsLaToshaBrown We don’t have the votes. What does Biden do? We can’t get voting rights passed if we lose control o… https://t.co/XriMbTSpfj
@C_W_Spangle_ @BannedTwatter @LarsLarsonShow Yea Trump must be having a fit. Pretty sure GOP will side with Russia… https://t.co/YPYF3q2eQx
Trump war with GOP seeps into midterms https://t.co/88rRDeBdHk
Lolololololol…NO they are not a Republican Party. They are a Dictatorship party now..but a Republican Party needs t… https://t.co/7JewHAUbVG
Jan. 6 committee files subpoenas for phone records of over 100 people — including many Trump associates https://t.co/Ybsz5LgVsm
"Apparently, Biden has lied to everyone….just like Trump Liar In Chief! Vote Them Out #Bernie2024 #MidTerms https://t.co/pL5I2z9mNV"
Here’s how Mitch McConnell outsmarted Trump — even though it created a major rift in the GOP https://t.co/AJthqdr96z
@TheValuesVoter So the very people who could most benefit from a Biden presidency are the same ones who have been c… https://t.co/FwRLuk88Mf
"@CatJova Trump, Biden, Obama, Bush, Clinton is the swamp that must be drained. #Bernie2024"
@_spencer_ace_ @AndrewFmOregon @mattyglesias Because they don't want more CA immigrants in the country competing fo… https://t.co/b3D92bBybr
Trump tries to distance himself from Sidney Powell — whom he once wanted as special counsel.  &gt;&gt;… https://t.co/cdO3DBLSdC
@Politics_Polls @Rasmussen_Poll Fake Polls paid for by Trump Media 👎👎👎
"@pwager4 @ericgarland How do we ""know"" Trump did ""notta""? Why would you give him that benefit of the doubt? If lite… https://t.co/xt7qVTPTHL"
How Much Damage Did Trump DO to the DOJ? https://t.co/gcVcUQW5bM
"@uncledoomer ""Trump is my entire personality"""
"Trump and his moronic followers are sacrificing about 10,000 people a week, most of them Republicans, to their COVI… https://t.co/UUpsJQ4soZ"
"How Much Damage Did Trump the Loser DO to the Department of Justice?  AS MUCH AS HE COULD, and some Republicans wer… https://t.co/ZZa0MENTLy"
@Riverboatstran1 @DawnAlene64 @RadioFreeTom Why would I pay any attention to a Trump voter? 🤔
"To quote ""Mork"", ""Reality, what a concept""! Not like mocking Trump is it. This one has you, pal. https://t.co/wC2yidQLBw"
Guest on Pillow Man-affiliated talk show says it's suspicious that anti-vaxxers keep getting COVID  [Mighty suspici… https://t.co/2DuZQjVIx9
Why doesn’t anyone poll Trump vs Bernie Sanders or Biden vs Sanders? Funny Dems and Republicans fear #BernieSanders… https://t.co/adIe2AdEEy
@CBSNews That's just Trump.  He was late for his tee time.
FEC Sued For Failing To Investigate Illegal Trump/Russia Coordination https://t.co/KlxWqlJb3j via @politicususa
"@Tochinoshin33 Garland is still working on Andrew Jackson, he'll get to Trump...eventually."
"Worse than Trump — press gets called out for rigged Biden coverage, by @EricBoehlert https://t.co/SZOsSIzqxD"
@blueheartedly Name one thing Trump has ever done that is it a failure?
"Bro, imagine being Kevin McCarthy and being Trump's bitch for the last couple of years to ensure your selection as… https://t.co/p2PsJtWUVn"
"@latstetter What Trump called African nations, basically."
@mikepompeo Come together - on our knees to Dictator Trump? Prefer democracy.
@FoxNews DesSantis would win 1000% Romney would loose 100% Trump could win/loose but civil war would happen shortly… https://t.co/2o6W1uhpgE
@realMeetKevin DesSantis would win 1000% Romney would loose 100% Trump could win/loose but civil war would happen s… https://t.co/jE57PswXQP
I’d like to know @CliffBentz what did you know about the #Insurrection  &amp; when did you know it? Did you get one of… https://t.co/JsQabyoxB3
"@TheAtlantic @rickhasen @mimbsy If America were a democracy, Trump and Biden would never have got close to the presidency."
The INSOLUBLE PROBLEM—No matter what the January 6th Committee learns about Trump’s attempt to overthrow our countr… https://t.co/ZqUJoZZeeG
ffs EVERYONE ON FOX NEWS LIVES IN NEW YORK  THEY'RE ALL RICH  THE LIES THEY TELL TRUMP VOTERS ABOUT LIBERAL.BUBBLES… https://t.co/QmQ0zX80ff
@kathrynresister Trump vodka
"When Trump had a Republican majority in #Congress, they did NOTHING but pass a lousy tax bill &amp; try to destroy Obam… https://t.co/JVu8iscIyH"
"I'm scratching my head at this 5% number... So, 95% of Republicans would hang out with the people that Trumpism has… https://t.co/V39jlkbGWG"
@iamgabesanchez Please tell me that they don’t love Trump enough to put his flab on the front cover too
@BasedBilly1 @dwyss04 @dachuda @AManCalledRhino @Oregonian I love how you push the brainwash narrative when you had… https://t.co/ZI0YfmAicP
@duty2warn @RonFilipkowski I don't know why I need to keep repeating this:  Trump's third wife developed an antipat… https://t.co/WynLfsJrdC
@mlauriat Wait...  God's gift to the world Donald J. Trump isn't being reinstated as President after the My Pillow… https://t.co/4Oqu4yL9yy
"@OccupyDemocrats If more attention isn't put on this, these new bills and laws set in place at state levels by Repu… https://t.co/yUkuNMk8Um"
"@OccupyDemocrats Republicans are already making that ""legal"" to do in certain states.  Trump has been undermining h… https://t.co/Ix5HYLjLKG"
"@BradBeauregardJ Such terrific news! Not one true patriot will ever forget trump’s dismissive, crazy words."
@remzoe17 @AmoneyResists @TomJChicago @MayoIsSpicyy Duh . . . Yeah. Biden is about a trillion times better than Tru… https://t.co/XQTfCjhhri
"@TomJChicago At a minimum, Trump should be charged with treason and brought to trial. He should also be charged wit… https://t.co/SdYUKFcTlR"
@RedWineLife4Me @RadioFreeTom I don't think presidents actually have security clearances.  Biden has not given him… https://t.co/uib6deTJUp
@kickinrad1029 Do you think jailing Trump and all of them would pacify gun toting republicans ?  Ha ! Martyrdom is… https://t.co/UGXHNeS9LV
"@rogertansey You predicated it in the future tense. Wrong message. ""If"" is a mighty big word. Besides, what's stopp… https://t.co/RSh5S8ktPK"
@SueSrod8128 @RonFilipkowski That's an insult to pigs. Pigs are actually highly intelligent creatures. Trump couldn't spell intelligent
It becomes more obvious every day that Mark Meadows is a PATHOLOGICALLY LYING  SLIME BALL—remember that’s what Trum… https://t.co/TDRJFUmYVe
"WTF is wrong with people? Because the US AG isn’t an authoritarian for Biden like Bill Barr was, he’s Team Trump? S… https://t.co/YHiqn1IR70"
Mark Meadows says Trump threatened to wipe out an Afghan village — a war crime — in a phone call with a Taliban neg… https://t.co/jLEAvfI1bf
@patriottakes Trump - “He’s a great guy. I really don’t know him that well.”
@greta You sure this is the hill you want to die on?  Five Times Donald Trump Bashed People that plead the fifth.  https://t.co/MpaGxYUrMD
@McTannerV1 Michael Porter Jr: Trump
"@Chaosforthefly Trump’s the Pied Piper of the bottom of the barrel. Nice work, America."
"@JillDLawrence @RadioFreeTom I liked “Former‘Apprentice’ Host Donald Trump”, but I get Tom’s point."
@Teri_Kanefield @look_to_god Trump’s entire Presidency exposed all of us to relentless attacks of narcissistic abus… https://t.co/b3s69NE5BP
"so much for ""it's economic anxiety that drives Trump support"" 🙄 https://t.co/AqyBOhwTdk"
"#RightsBeforeRecess  Senators: holiday recess starts Dec. 13. Does your vacation trump our #VotingRights, or are yo… https://t.co/nVgjx3EoIq"
"@EricTopol @NEJM But, sure...Trump Republicans, keep battling against vaccinations, and booster shots; watch folks… https://t.co/7p6bHbSZfZ"
Say what??? This woman gets worse and worse. Thanks trump! https://t.co/aBgAOT6uFk
How come have I never seen this before??? 😂😂😂  TRUMP could NEVER https://t.co/qyJTAk48JU
"@AlwaysFlacko For 1 thing, I think Trump would have unleashed ICE to specifically round up all DACA youths &amp; their… https://t.co/hrp1rjcHBU"
@RonFilipkowski @katroy2012 This is the face of Trump Social?
@RWPUSA @POTUS There is no way that you can convince trump that he is not still president
I hate this shit. I despise Trump and I have mental illnesses. Some Trump supporters are mentally ill. Some people… https://t.co/rrifFfAldw
Unfortunately this may need to happen before The New Trump Russpublican Party realizes there is a line that should… https://t.co/iZYOc0k3ew
@sue_meadows11 @realLizUSA Nope. He’s just putting America First.   We all knew trump would run up the deficit and… https://t.co/8QbMhCzklg
Anti-vaxx Chronicles: Trump wrestles alligators and wears tight jeans and COVID is a #scam https://t.co/BGpmyvtecL
Why Durham's Prosecution Of Trump Conspiracy Claims Is Falling Apart https://t.co/pES8aaR39y
@SwagginzBob @ebonymystique @ArchDejan @thebaseballjedi @ogailihussein @AnastasiosAA Anyone whose primary funding f… https://t.co/EuA20MgPqF
"So, can a private citizen sue and demand immediate jail time of an ex president?  All I want for Christmas is Trump… https://t.co/0yezIBvZAf"
@BrentTerhune Stop it already Brent. The Trump flags were annoying but now your just showing off. https://t.co/FdSeny79oM
The defeated President of the United States contacting elections officials directly to demand them to change the re… https://t.co/4OO92uZyvo
"Donald Trump and other ultrarich Americans have earned billions, but they’ve also managed to repeatedly avoid payin… https://t.co/fPpyEq7HyR"
@ktumulty @NormOrnstein It would suddenly become the most important position in DC &amp; the media would cover it 24/7… https://t.co/T4rktU5wDL
