@ACTBrigitte Y'all crazy trumpies won't take back s*** trump will never come back to Washington DC
@JasonOverstreet One step away from Trump’s bleach cure.
@kylegriffin1 I know she really means her party. Everyone knows that “Dems” are really Republicans and they are set… https://t.co/jJhymIYVre
"@erybodyblack The same way Biden used black people for votes? ""Well I tell you what, if you have a problem figuring… https://t.co/sUfxWLKoAR"
@OccupyDemocrats What’s wild is there’s no way you would be pushing this insanity if trump was still in office.
@washingtonpost How do you think the US managed to get out of Afghanistan? They cut a deal with the Taliban. Actually Trump did…
#FoxNoise Rupert Murdoch's non-stop right wing disinformation machine is not news. It's not news now and it never w… https://t.co/Mq45MpzM6M
Won't-run-if-Trump-runs question leads to waiting game for likely 2024 candidates https://t.co/HC7Ckg1dWB
Trump freezes 2024 Republican primary before it even begins https://t.co/HC7Ckg1dWB
More trump cards 🤔https://t.co/QDfQLMJqKT
"@thehill In other words, “trump give me support in Georgia”."
People in counties that voted for Donald Trump in 2020 are dying at much higher rates from COVID-19 than people who… https://t.co/H0ksNSN2bU
"''Mitch McConnell just folded on the debt ceiling, a total victory for the Democrats — didn't use it to kill the $5… https://t.co/RuhnelDy7P"
Trump freezes 2024 Republican primary before it even begins  https://t.co/UAj9CTjcZm
"@BeschlossDC It's when you get presidents like Reagan, the Bushes and Trump that you wonder what happened to the Ro… https://t.co/2cBHN3liZg"
"@Jim_Jordan Trump wanted a ""personal"" favor in order get critical assistance. Pretty despicable."
Never forget that the US Supreme Court is corrupt and you cannot trust them.  they refused to hear Election Fraud c… https://t.co/6lyJe8uMVh
"@DonaldJTrumpJr It was proven false like Voter Fraud, yet Trump and others... #donjr  Like to keep promoting it.  I wonder why???"
I despise the republicans and trump and all they stand for.  But the democrats as always have zero spine and really… https://t.co/AkIEY8rpq2
With the last 5 Years of that menacing Trump &amp; his completely disillusioned follower- then going on 2 years of Covi… https://t.co/OxkdYV9MSk
"@Jim_Jordan Mr. Jordan........it can't be repeated too often, the rich &amp; privileged, LIKE YOU, NEED to be taxed mor… https://t.co/qIClTYYS2D"
@GOP will never out live the stupidity of allowing Trump to cast them as totally UNTRUSTWORTHY😡🔥❗️ @DNC  didn't get… https://t.co/7zqfz3BXaR
@jaketapper @JustinaRobson @maddow @allinwithchris @POTUS @SpeakerPelosi   @GOP is suffering from massive BRAIN ROT… https://t.co/8arNhorNUg
"@GailSimone Butte County is an anti-masker, anti-vaxxer paradise. My coworkers have F*** Newsom “ stickers on their… https://t.co/bAdbL7zOcR"
"@jenmercieca He makes Wallace look like an amateur. As we found out, Wallace never believed the crap he spewed. Tru… https://t.co/6tjnP5a9X0"
@Battino4Senate @BeverlyFolkers He doesn't know anything except trump. Hes too far gone
"@dukewindsor388 One of my best friends is a conservative Christian and despite those qualities,  he is smart and ac… https://t.co/gXcPnRHt4o"
Won't-run-if-Trump-runs question leads to waiting game for likely 2024 candidates - CNN Politics https://t.co/MZKLtldur7
GOP rep says he's talked to Trump about making him House Speaker - MSNBC https://t.co/Pi34fJH7xb
@AubryAndrews Did Donald Trump write this?
"@Jscott1145 Yeah this was the first time I’ve agreed with Rand Paul in my life, it’s outrageous. And I remember a l… https://t.co/FwX4yOtzfv"
@thetogdad @x_insurrection @andrewjskerritt @washingtonpost No argument goes over your head. You will catch it.  Al… https://t.co/xSgfi2rirw
@pesterplarson3 Boy trump lasoed these Republicans took over their brains now they are just cotton
"Yes, a former president could become speaker of the House. Here's how https://t.co/jbdYZyN2L4"
Dunkirk&gt;Fury&gt;1917  (I think)  It is tough because I love Fury. But the pilot scenes in Dunkirk are really what trump those two.
Do Trump supporters believe what they say they believe?  The answer is mostly a horrifying NO &gt;ALL GOP congressmen/… https://t.co/VlR69NYuMc
"@AllLeahWrote So true, makes me think about all those riden with Biden accounts I saw during the election. Better t… https://t.co/gn4dXJ3D2y"
"After voting to impeach Trump, can Rep. Meijer survive the GOP?  Alberta provides insight into how some elected GOP… https://t.co/NHGqOaSoN3"
"@jessiegender So, Since Donald Trump, their Lord and Master got CoVId... I guess that means he is all Feminized n stuff.  Right Tuckster?"
Republicans can never be free because they cannot be free from Trump he won't let them
@nypost Trump voters support this! Sad!
@whoopwithwood @RoNana1972 @VM1138 @Cindy18298536 @JoeNBC Biden do not extend the keep kids in cages policy - he wa… https://t.co/TNm4XkRv2X
"@gacorrea @joncoopertweets Trump also released 5,000 taliban soldiers and Baradar their leader and co-founder.  Bef… https://t.co/YSC0Y9sVNZ"
@gacorrea @joncoopertweets Ummm.. too many are uninformed on the reality of what Biden was up against due to trumps… https://t.co/rBXHjtSDCA
@JoeNBC I would NEVER date a Trump supporter. Nor would I date a Mussolini supporter. You’re a bad person if you’re… https://t.co/0rhCuZJvQw
@ACTBrigitte Trump should be in prison for 1/6 insurrection.
@newsmax IF it seems the president thinks everything is ok . Even when there is legitimate backlash. It do not regi… https://t.co/5bLc3skmoa
Russian State TV Drops Deranged Love Letter to Its Darling ‘Trumpushka” ⁦@POTUS45⁩   https://t.co/9aK781m6Kn
"@H0rsinAr0und @payton_henry @BeauMayes @pilateslaguna @JoyAnnReid You know, for a few years, liberals warned you ho… https://t.co/yp7VbqXgvB"
@AngelaRayner Unfortunately the country and government are on track for a dictatorship take over. This is Trump lan… https://t.co/f8ASVQQJfB
"Here's the Craven GOP Plan For Ending Democracy, by @Thom_Hartmann https://t.co/zIvUICCRmw the real issue for me is… https://t.co/BG6T5wQJjf"
@MysterySolvent Democrat’s. I do believe he is working with republicans against democrats. Remember he voted for trump.
"“If Congress cannot enforce subpoenas, it no longer functions as a Congress.” Sure, R's are ""too scared"" of Trump,… https://t.co/5mq3JbrJoG"
"@maddow @allinwithchris @JustinaRobson @jaketapper   You are clever and smart, But, you treat Trump the ConMan with… https://t.co/4wrjmqoVkG"
🤣🤣🤣🤣 That’s not how it works you IDIOTS’ Frustrated' Mike Lindell fans mail copies of his 'petition' demanding Trum… https://t.co/7EtBxULUOS
@American_Alley2 Biden was just asking where he was supposed to stand. But Trump thinks Kansas City is in KANSAS. W… https://t.co/QoAiHXRw48
@BillyM2k The answer should be Donald trump
@Musedri Hopefully the January 6th commission will hold Trump accountable in spite of Garland.   I ALSO WONDER WHY… https://t.co/dlyaWvUrr0
@mannby Trump’s not getting away with anything.  Feds are allowing him to communicate with all the rats out there t… https://t.co/2d8K14DnuI
"President Trump Accuses the Georgia Skunk Ape of Election Tampering | by Don Feazelle | MuddyUm | Nov, 2020 | Mediu… https://t.co/7uToNShq4H"
@tedcruz @CNN Did you ever watch Fox And Friends or Hannity do an interview of Trump?
@Takan_Culain @wirednot @ChrisMurphyCT Don't listen to this guy he prefers all the unqualified garbage Trump nominated.
The supply chain has been fixed. The shelves are not empty. The gas prices are coming down. Both do to actions take… https://t.co/bj4YWDdq23
Why don't he do a Trump impersonation now? Look at him now. https://t.co/OQkJ1UZuu5
"@VP But the dems are not protecting our voting rights, reproductive rights or separation of church and state. We vo… https://t.co/YGivY0Mym4"
FlashPoint: President Donald Trump Interview 12/2/21 https://t.co/ETfLMzi0O4 via @YouTube
