"@BillKristol Hey, it’s the Christmas season.   It’s just Flynn’s retelling of the Passion of Trump."
@BlondeBMW17 I thought you were being civil... didn't know you wanted a big argument.  The FBI infiltrated the Trum… https://t.co/BSv31Keyap
'My base is going to be very angry': Trump explains what will happen if he doesn't run in 2024… https://t.co/smPlSMlWAa
"@joncoopertweets @DavidCoss @JoeBiden Agreed it's despicable, but at this point you can't expect the right thing fr… https://t.co/Jy8Txw45PH"
@CyganFrank @WednesFri @DonaldJTrumpJr What makes you think of freedom of information inquiry would expediate it?… https://t.co/z4ThXmPblo
The allegiance of people like Mike Lindell should give you a hint as to the people willing to follow trump. It’s al… https://t.co/PtMLzDJrkw
"Hey Mike Lindell, are you just a trump bull shitter, willing to claim anything you want to and blame it on anyone t… https://t.co/xFs93V1iDU"
"@TomJChicago Hope so! The question remains, Who will be prosecuted &amp; go to prison?  We need accountability, startin… https://t.co/XsbdgwuOe4"
@thehill @SteveScalise The reporters need to stop asking republicans these ridiculous questions.Ofc they don’t want… https://t.co/NUp5cz3yXr
@niggy_stardust I don't think we could have had what happened in 2020 if it weren't for a figure like Trump being i… https://t.co/ebe3WCtnKi
@niggy_stardust The biggest problem with this is that one has to believe that Trump was actually there to fight le… https://t.co/lQH0JbMUdx
"@niggy_stardust /will get their purge of communists or whatever very, very soon. Back in 2015, there was outrage bu… https://t.co/wPOrZtL2jf"
@niggy_stardust I'm pretty sure there are some backroom deals to write the plotline for American politics during th… https://t.co/EbOAaWnYvw
"@niggy_stardust Part of the Trump movement is that there never was any there there. It was all a show, a narrative… https://t.co/bsZyOx6Wyd"
"@niggy_stardust Whatever the purpose was, they got it. The transition plotline, written months in advance of the el… https://t.co/jVXCxoQzo3"
This is insane.  The Trump sycophants in our government are insane.  Read this thread… https://t.co/vtbMsdS7Do
@GuitarLady1977 @BillGordon916 @BeschlossDC Oh yeah Trump included. I’m not sure how he grifted it off that but I’m sure he did
YES! We were SAFER with Trump!! https://t.co/ovbsCtS2f0
@LGMets10 @jacktorrance182 @DonaldJTrumpJr Trump proved he was public enemy number One. Culminated in months of lyi… https://t.co/noRk1aMZfx
@SebGorka Did Trump ever go?
@tracilaw @BadBradRSR 🖕F Trump as well. He used Russia to hack into Election machines/servers in 2016.
@fOrGiVeNcHy Ok but I think about this Trump moment a lot 🤣🤣🤣
@thehill This guy is toast.  Between him and Trump they can guarantee Stacey Abrams as governor…..sad.
@trackertrialnew Let's slow down there. Clinton was there 17 times. Trump once. All this is what we know so far.
